date,fund,company,ticker,cusip,shares,market value($),weight(%)
2/16/2021,ARKK,TESLA INC,TSLA,88160R101,2998298.0,2387304833.56,8.53
2/16/2021,ARKK,ROKU INC,ROKU,77543R102,4092845.0,1922409296.5,6.87
2/16/2021,ARKK,SQUARE INC - A,SQ,852234103,5241960.0,1446885799.2,5.17
2/16/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,4943967.0,1439732630.07,5.15
2/16/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5163857.0,1032255014.3,3.69
2/16/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,2988063.0,974706150.6,3.48
2/16/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6021490.0,935257826.8,3.34
2/16/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2581436.0,913131356.28,3.26
2/16/2021,ARKK,INVITAE CORP,NVTA,46185L103,17315474.0,849670309.18,3.04
2/16/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,492875.0,726497750.0,2.6
2/16/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,2157862.0,657694758.98,2.35
2/16/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,6487602.0,623458552.2,2.23
2/16/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1396445.0,620733766.95,2.22
2/16/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1457505.0,613988556.3,2.19
2/16/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,21147866.0,594255034.6,2.12
2/16/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,3706408.0,571824626.24,2.04
2/16/2021,ARKK,PROTO LABS INC,PRLB,743713109,3084347.0,556601259.62,1.99
2/16/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2072430.0,548551496.7,1.96
2/16/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,10992978.0,519967859.4,1.86
2/16/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3581423.0,501578291.15,1.79
2/16/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3130101.0,489078281.25,1.75
2/16/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,3632022.0,455491879.02,1.63
2/16/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6404582.0,436472263.3,1.56
2/16/2021,ARKK,2U INC,TWOU,90214J101,7990138.0,434903211.34,1.55
2/16/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1214328.0,428548494.48,1.53
2/16/2021,ARKK,PAGERDUTY INC,PD,69553P100,7491490.0,414953631.1,1.48
2/16/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5751793.0,406881836.82,1.45
2/16/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,5925673.0,402945764.0,1.44
2/16/2021,ARKK,SEA LTD-ADR,SE,81141R100,1374101.0,382192452.14,1.37
2/16/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4578435.0,373600296.0,1.34
2/16/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6601876.0,372675900.2,1.33
2/16/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,3306421.0,371707848.82,1.33
2/16/2021,ARKK,VERACYTE INC,VCYT,92337F107,4802280.0,358538224.8,1.28
2/16/2021,ARKK,STRATASYS LTD,SSYS,M85548101,6826400.0,334971448.0,1.2
2/16/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,6844028.0,335562692.84,1.2
2/16/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,7198463.0,333792729.31,1.19
2/16/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,1573381.0,302765705.83,1.08
2/16/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,581911.0,279730436.81,1.0
2/16/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,3046092.0,278595574.32,1.0
2/16/2021,ARKK,PACCAR INC,PCAR,693718108,2816717.0,273587722.21,0.98
2/16/2021,ARKK,SYNOPSYS INC,SNPS,871607107,940322.0,273323395.74,0.98
2/16/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,6823881.0,230237744.94,0.82
