date,fund,company,ticker,cusip,shares,market value($),weight(%)
2/18/2021,ARKK,TESLA INC,TSLA,88160R101,3119703.0,2456391748.14,8.95
2/18/2021,ARKK,ROKU INC,ROKU,77543R102,4135823.0,1873486460.77,6.83
2/18/2021,ARKK,SQUARE INC - A,SQ,852234103,5296984.0,1434688116.4,5.23
2/18/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,4995875.0,1414332212.5,5.15
2/18/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5218083.0,945777543.75,3.45
2/18/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2608530.0,925715126.4,3.37
2/18/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,3019452.0,899826890.52,3.28
2/18/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6019835.0,882869001.1,3.22
2/18/2021,ARKK,INVITAE CORP,NVTA,46185L103,17310715.0,822605176.8,3.0
2/18/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,537498.0,744203605.86,2.71
2/18/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,2180510.0,634114113.1,2.31
2/18/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1379588.0,611833482.12,2.23
2/18/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,6270616.0,600348775.84,2.19
2/18/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4223845.0,598307644.25,2.18
2/18/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1411113.0,589718233.83,2.15
2/18/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,21142054.0,573161083.94,2.09
2/18/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2094205.0,546566562.95,1.99
2/18/2021,ARKK,PROTO LABS INC,PRLB,743713109,3083499.0,540506539.71,1.97
2/18/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11108403.0,515429899.2,1.88
2/18/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3619044.0,487231893.72,1.78
2/18/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3129241.0,466382078.64,1.7
2/18/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,3670155.0,434436247.35,1.58
2/18/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6402822.0,426491973.42,1.55
2/18/2021,ARKK,2U INC,TWOU,90214J101,7987942.0,404828900.56,1.48
2/18/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1213994.0,404587780.38,1.47
2/18/2021,ARKK,PAGERDUTY INC,PD,69553P100,7489431.0,386604428.22,1.41
2/18/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4739166.0,383635487.7,1.4
2/18/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,5987898.0,384961962.42,1.4
2/18/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,3341154.0,380423794.44,1.39
2/18/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5750212.0,370773669.76,1.35
2/18/2021,ARKK,SEA LTD-ADR,SE,81141R100,1388541.0,371434717.5,1.35
2/18/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6600062.0,365379432.32,1.33
2/18/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7260857.0,343801578.95,1.25
2/18/2021,ARKK,VERACYTE INC,VCYT,92337F107,4800960.0,335203027.2,1.22
2/18/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,1667639.0,310797880.43,1.13
2/18/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,7196485.0,307577768.9,1.12
2/18/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,588029.0,280507473.87,1.02
2/18/2021,ARKK,STRATASYS LTD,SSYS,M85548101,6638194.0,274091030.26,1.0
2/18/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,3078088.0,275150286.32,1.0
2/18/2021,ARKK,PACCAR INC,PCAR,693718108,2846281.0,269969752.85,0.98
2/18/2021,ARKK,SYNOPSYS INC,SNPS,871607107,950202.0,257457231.9,0.94
2/18/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,6822005.0,202204228.2,0.74
2/18/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,7970749.0,187153186.52,0.68
2/18/2021,ARKK,TERADYNE INC,TER,880770102,1095553.0,149542984.5,0.55
2/18/2021,ARKK,SNAP INC - A,SNAP,83304A106,2320936.0,145917246.32,0.53
2/18/2021,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,1619914.0,139296404.86,0.51
2/18/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1830830.0,138612139.3,0.51
2/18/2021,ARKK,CERUS CORP,CERS,157085101,18903755.0,137997411.5,0.5
2/18/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,5274700.0,132764199.0,0.48
2/18/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,9945716.0,124918192.96,0.46
2/18/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,1166709.0,119120988.9,0.43
2/18/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,533847.0,55146395.1,0.2
2/18/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,5014189.0,54654660.1,0.2
2/18/2021,ARKK,SPLUNK INC,SPLK,848637104,82727.0,13786454.55,0.05
2/18/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,68620A203,163506.0,2365931.82,0.01
2/18/2021,ARKQ,TESLA INC,TSLA,88160R101,510780.0,402177956.4,10.0
2/18/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,684332.0,203937779.32,5.07
2/18/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1746386.0,184121475.98,4.58
2/18/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2443475.0,177139720.13,4.4
2/18/2021,ARKQ,DEERE & CO,DE,244199105,550039.0,165149209.75,4.11
2/18/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,4975273.0,148860168.16,3.7
2/18/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,70360.0,148966192.0,3.7
2/18/2021,ARKQ,TERADYNE INC,TER,880770102,1078810.0,147257565.0,3.66
2/18/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,2045445.0,131890293.6,3.28
2/18/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,674075.0,125297061.0,3.12
2/18/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3808118.0,116566491.98,2.9
2/18/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,756190.0,101805859.7,2.53
2/18/2021,ARKQ,CATERPILLAR INC,CAT,149123101,506007.0,101160919.44,2.52
2/18/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,168571.0,99989574.36,2.49
2/18/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,7351657.0,99614952.35,2.48
2/18/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,2069195.0,97976383.25,2.44
2/18/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,288086.0,97350021.12,2.42
2/18/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1428351.0,92542861.29,2.3
