date,fund,company,ticker,shares,market value($),weight(%)
12/15/2020,ARKF,SQUARE INC - A,SQ,775456.0,170592565.44,10.93
12/15/2020,ARKF,MERCADOLIBRE INC,MELI,46081.0,76908728.19,4.93
12/15/2020,ARKF,PINTEREST INC- CLASS A,PINS,1036464.0,73288369.44,4.7
12/15/2020,ARKF,ZILLOW GROUP INC - C,Z,537550.0,71924190.0,4.61
12/15/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,566516.0,62871945.68,4.03
12/15/2020,ARKF,ADYEN NV,ADYEN,25674.0,58071139.32,3.7199999999999998
12/15/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,254409.0,56377034.4,3.61
12/15/2020,ARKF,SEA LTD-ADR,SE,290135.0,54571492.15,3.5000000000000004
12/15/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,725681.0,53061794.72,3.4000000000000004
12/15/2020,ARKF,LENDINGTREE INC,TREE UW,172402.0,46696805.72,2.9900000000000007
12/15/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,171006.0,43625340.66,2.8
12/15/2020,ARKF,TWILIO INC - A,TWLO,119496.0,41238069.6,2.64
12/15/2020,ARKF,MEITUAN-CLASS B,3690,1156615.0,40913338.28,2.62
12/15/2020,ARKF,SNAP INC - A,SNAP,764511.0,39257639.85,2.52
12/15/2020,ARKF,DOCUSIGN INC,DOCU,162079.0,37877862.3,2.4299999999999997
12/15/2020,ARKF,APPLE INC,AAPL,273393.0,34961496.84,2.24
12/15/2020,ARKF,AMAZON.COM INC,AMZN,10487.0,33192613.44,2.13
12/15/2020,ARKF,FACEBOOK INC-CLASS A,FB,117936.0,32497264.8,2.08
12/15/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,528996.0,30636061.81,1.96
12/15/2020,ARKF,Z HOLDINGS CORP,4689,5088107.0,30115741.15,1.9300000000000002
12/15/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,6268545.0,29274127.79,1.8800000000000001
12/15/2020,ARKF,SPLUNK INC,SPLK,177672.0,28747329.6,1.8399999999999999
12/15/2020,ARKF,INTUIT INC,INTU,71105.0,25628375.15,1.6399999999999997
12/15/2020,ARKF,WORKDAY INC-CLASS A,WDAY,108271.0,23846687.75,1.53
12/15/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,811247.0,22617566.36,1.4500000000000002
12/15/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,173420.0,21934161.6,1.41
12/15/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,500996.0,21843425.6,1.4
12/15/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,201333.0,21158084.97,1.3599999999999999
12/15/2020,ARKF,PINDUODUO INC-ADR,PDD,146953.0,20871734.59,1.34
12/15/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,386847.0,19748539.35,1.27
12/15/2020,ARKF,DISCOVERY LTD,DSY,1844376.0,18466679.2,1.18
12/15/2020,ARKF,LENDINGCLUB CORP,LC,1879598.0,17085545.82,1.1
12/15/2020,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,299533.0,16989511.76,1.09
12/15/2020,ARKF,SHOPIFY INC - CLASS A,SHOP,15352.0,16489583.2,1.06
12/15/2020,ARKF,TELADOC HEALTH INC,TDOC,84028.0,16478731.08,1.06
12/15/2020,ARKF,SBI HOLDINGS INC,8473,575162.0,15373172.58,0.9900000000000001
12/15/2020,ARKF,HDFC BANK LTD-ADR,HDB,221373.0,15228248.67,0.98
12/15/2020,ARKF,JD.COM INC-ADR,JD,190145.0,15116527.5,0.97
12/15/2020,ARKF,TRANSUNION,TRU,152312.0,15141335.92,0.97
12/15/2020,ARKF,NVIDIA CORP,NVDA,27664.0,14784194.88,0.95
12/15/2020,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,456578.0,14838785.0,0.95
12/15/2020,ARKF,VERISK ANALYTICS INC,VRSK,61692.0,12100268.88,0.7799999999999999
12/15/2020,ARKF,YEAHKA LTD,9923,2582800.0,12045025.54,0.77
12/15/2020,ARKF,KE HOLDINGS INC,BEKE,180483.0,11482328.46,0.74
12/15/2020,ARKF,BASE INC,4477,91300.0,7497110.05,0.48
12/15/2020,ARKF,MARKETAXESS HOLDINGS INC,MKTX,13401.0,7421339.79,0.48
12/15/2020,ARKF,MORGAN STANLEY GOVT INSTL 8035,,5103754.52,5103754.52,0.33
12/15/2020,ARKF,JD HEALTH INTERNATIONAL INC,6618,112325.0,1996798.73,0.13
12/15/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,21140.0,889571.2,0.06
12/15/2020,ARKF,JAPANESE YEN,,34367575.0,331621.32,0.02
12/15/2020,ARKF,JAPANESE YEN,,14728961.0,142123.42,0.01
12/15/2020,ARKF,SOUTH AFRICAN RAND,,1207852.41,81131.98,0.01
12/15/2020,ARKF,ZSCALER INC,ZS,902.0,163478.48,0.01
12/15/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,3155453.0,473223286.41,7.980000000000001
12/15/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,4124446.0,451379370.24,7.62
12/15/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,20016038.0,415132628.12,7.000000000000001
12/15/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,2464566.0,343067587.2,5.79
12/15/2020,ARKG,INVITAE CORP,NVTA,6195551.0,313742702.64,5.29
12/15/2020,ARKG,TELADOC HEALTH INC,TDOC,1181955.0,231793195.05,3.91
12/15/2020,ARKG,FATE THERAPEUTICS INC,FATE,2338168.0,216911845.36,3.66
12/15/2020,ARKG,CAREDX INC,CDNA,3114397.0,211436412.33,3.5700000000000003
12/15/2020,ARKG,PERSONALIS INC,PSNL,5850078.0,211480319.7,3.5700000000000003
12/15/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,4352024.0,208113787.68,3.51
12/15/2020,ARKG,EXACT SCIENCES CORP,EXAS,1483572.0,191959381.08,3.2400000000000007
12/15/2020,ARKG,CELLECTIS - ADR,CLLS,6051067.0,156480592.62,2.64
12/15/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,6597472.0,142505395.2,2.4
12/15/2020,ARKG,EDITAS MEDICINE INC,EDIT,2022952.0,131350273.36,2.22
12/15/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2184178.0,117137466.14,1.9800000000000002
12/15/2020,ARKG,VERACYTE INC,VCYT,2169953.0,117654851.66,1.9800000000000002
12/15/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,115036209.1,115036209.1,1.94
12/15/2020,ARKG,INCYTE CORP,INCY,1251176.0,107938953.52,1.82
12/15/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,464726.0,106333956.06,1.79
12/15/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,4933822.0,92657177.16,1.5599999999999998
12/15/2020,ARKG,SERES THERAPEUTICS INC,MCRB,3561614.0,91604712.08,1.55
12/15/2020,ARKG,ACCOLADE INC,ACCD,1806056.0,89959649.36,1.52
12/15/2020,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,946406.0,85148147.82,1.44
12/15/2020,ARKG,BERKELEY LIGHTS INC,BLI,1013335.0,84684405.95,1.43
12/15/2020,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,1816655.0,78134331.55,1.32
12/15/2020,ARKG,CASTLE BIOSCIENCES INC,CSTL,1240392.0,75738335.52,1.28
12/15/2020,ARKG,COMPUGEN LTD,CGEN,5735230.0,74672694.6,1.26
12/15/2020,ARKG,IONIS PHARMACEUTICALS INC,IONS,1402896.0,72228100.56,1.22
12/15/2020,ARKG,REGENERON PHARMACEUTICALS,REGN,145838.0,71721670.02,1.21
12/15/2020,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,144506.0,68059435.88,1.15
12/15/2020,ARKG,SCHRODINGER INC,SDGR,910549.0,67617368.74,1.1400000000000001
12/15/2020,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1178700.0,66018987.0,1.11
12/15/2020,ARKG,10X GENOMICS INC-CLASS A,TXG,406721.0,60821058.34,1.03
12/15/2020,ARKG,ALPHABET INC-CL A,GOOGL,34448.0,60665683.84,1.02
12/15/2020,ARKG,BEAM THERAPEUTICS INC,BEAM,756586.0,58786732.2,0.9900000000000001
12/15/2020,ARKG,CERUS CORP,CERS,8174256.0,57955475.04,0.98
12/15/2020,ARKG,PHREESIA INC,PHR,1003989.0,56263543.56,0.95
12/15/2020,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,777656.0,54202623.2,0.91
12/15/2020,ARKG,CODEXIS INC,CDXS,2697863.0,52095734.53,0.88
12/15/2020,ARKG,GUARDANT HEALTH INC,GH,412128.0,50382648.0,0.8500000000000001
12/15/2020,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,6802380.0,48364921.8,0.8199999999999998
12/15/2020,ARKG,SYROS PHARMACEUTICALS INC,SYRS,3167084.0,37688299.6,0.64
12/15/2020,ARKG,SAREPTA THERAPEUTICS INC,SRPT,185242.0,31111393.9,0.52
12/15/2020,ARKG,EVOGENE LTD,EVGN,4594499.0,18377996.0,0.31
12/15/2020,ARKG,REPARE THERAPEUTICS INC,RPTX,459095.0,17105879.7,0.29
12/15/2020,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,2905336.0,17344855.92,0.29
12/15/2020,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,909528.0,14261399.04,0.24
12/15/2020,ARKG,SURFACE ONCOLOGY INC,SURF,800386.0,7979848.42,0.13
12/15/2020,ARKG,ORGANOVO HOLDINGS INC,ONVO ,375102.0,2715738.48,0.05
12/15/2020,ARKK,TESLA INC,TSLA,2616899.0,1657151291.75,10.08
12/15/2020,ARKK,ROKU INC,ROKU,3412199.0,1092381387.86,6.65
12/15/2020,ARKK,CRISPR THERAPEUTICS AG,CRSP,6576266.0,986242612.02,6.0
12/15/2020,ARKK,INVITAE CORP,NVTA,17598486.0,891187331.04,5.42
12/15/2020,ARKK,SQUARE INC - A,SQ,3964426.0,872134075.74,5.3100000000000005
12/15/2020,ARKK,TELADOC HEALTH INC,TDOC,3202029.0,627949907.19,3.82
12/15/2020,ARKK,ZILLOW GROUP INC - C,Z,3892725.0,520846605.0,3.17
12/15/2020,ARKK,PROTO LABS INC,PRLB,3240390.0,506408149.2,3.08
12/15/2020,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,1425468.0,466085271.96,2.8400000000000003
12/15/2020,ARKK,EDITAS MEDICINE INC,EDIT,7140537.0,463635067.41,2.82
12/15/2020,ARKK,PURE STORAGE INC - CLASS A,PSTG,20293616.0,438342105.6,2.67
12/15/2020,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,7639089.0,365301235.98,2.22
12/15/2020,ARKK,TWILIO INC - A,TWLO,1058132.0,365161353.2,2.22
12/15/2020,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6654627.0,356887646.01,2.17
12/15/2020,ARKK,PAGERDUTY INC,PD,7613933.0,341484895.05,2.08
12/15/2020,ARKK,LENDINGTREE INC,TREE UW,1234173.0,334288098.78,2.03
12/15/2020,ARKK,EXACT SCIENCES CORP,EXAS,2507268.0,324415406.52,1.97
12/15/2020,ARKK,TWIST BIOSCIENCE CORP,TWST,2306537.0,321069950.4,1.95
12/15/2020,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,3019515.0,317320831.35,1.9300000000000002
12/15/2020,ARKK,DOCUSIGN INC,DOCU,1343916.0,314073169.2,1.91
12/15/2020,ARKK,PAYPAL HOLDINGS INC,PYPL,1390829.0,308207706.4,1.8800000000000001
12/15/2020,ARKK,2U INC,TWOU,8120745.0,291372330.6,1.77
12/15/2020,ARKK,VERACYTE INC,VCYT,5032228.0,272847402.16,1.66
12/15/2020,ARKK,MATERIALISE NV-ADR,MTLS,6055685.0,268448516.05,1.63
12/15/2020,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2400732.0,266433237.36,1.6200000000000003
12/15/2020,ARKK,SHOPIFY INC - CLASS A,SHOP,211415.0,227080851.5,1.38
12/15/2020,ARKK,KE HOLDINGS INC,BEKE,3481500.0,221493030.0,1.35
12/15/2020,ARKK,SERES THERAPEUTICS INC,MCRB,8501171.0,218650118.12,1.3299999999999998
12/15/2020,ARKK,MORGAN STANLEY GOVT INSTL 8035,,211926424.9,211926424.9,1.29
12/15/2020,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,522974.0,208891504.82,1.27
12/15/2020,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,2547195.0,189027340.95,1.15
12/15/2020,ARKK,UNITY SOFTWARE INC,U,1278536.0,184850734.88,1.12
12/15/2020,ARKK,BAIDU INC - SPON ADR,BIDU,983663.0,182469486.5,1.11
12/15/2020,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7617703.0,157991160.22,0.96
12/15/2020,ARKK,SPLUNK INC,SPLK,974287.0,157639636.6,0.96
12/15/2020,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,4370029.0,156578139.07,0.95
12/15/2020,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2238242.0,156005467.4,0.95
12/15/2020,ARKK,SEA LTD-ADR,SE,788992.0,148401505.28,0.9000000000000001
12/15/2020,ARKK,SYNOPSYS INC,SNPS,607334.0,147424255.16,0.9000000000000001
12/15/2020,ARKK,PINTEREST INC- CLASS A,PINS,2057278.0,145470127.38,0.89
12/15/2020,ARKK,COMPUGEN LTD,CGEN,10940184.0,142441195.68,0.8699999999999999
12/15/2020,ARKK,STRATASYS LTD,SSYS,7107018.0,139652903.7,0.8500000000000001
12/15/2020,ARKK,CERUS CORP,CERS,19218009.0,136255683.81,0.83
12/15/2020,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,1844885.0,134897991.2,0.8199999999999998
12/15/2020,ARKK,HUYA INC-ADR,HUYA,5777782.0,116711196.4,0.7100000000000001
12/15/2020,ARKK,SYROS PHARMACEUTICALS INC,SYRS,5097545.0,60660785.5,0.37
12/15/2020,ARKK,EXONE CO/THE,XONE,1070718.0,12645179.58,0.08
12/15/2020,ARKK,ORGANOVO HOLDINGS INC,ONVO ,835271.0,6047362.04,0.04
12/15/2020,ARKQ,TESLA INC,TSLA,251720.0,159401690.0,11.790000000000001
12/15/2020,ARKQ,MATERIALISE NV-ADR,MTLS,1886811.0,83642331.63,6.18
12/15/2020,ARKQ,TRIMBLE INC,TRMB,865587.0,56522831.1,4.18
12/15/2020,ARKQ,ALPHABET INC-CL C,GOOG,31018.0,54832689.86,4.05
12/15/2020,ARKQ,DEERE & CO,DE,208705.0,54678622.95,4.04
12/15/2020,ARKQ,PROTO LABS INC,PRLB,333537.0,52125162.36,3.85
12/15/2020,ARKQ,FLIR SYSTEMS INC,FLIR,1074064.0,46012901.76,3.4000000000000004
12/15/2020,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,1877949.0,45878294.07,3.39
12/15/2020,ARKQ,NXP SEMICONDUCTORS NV,NXPI,274640.0,43958878.4,3.25
