date,fund,company,ticker,shares,market value($),weight(%)
11/23/2020,ARKF,SQUARE INC - A,SQ,621786.0,129194695.08,11.0
11/23/2020,ARKF,PINTEREST INC- CLASS A,PINS,831032.0,54673595.28,4.66
11/23/2020,ARKF,MERCADOLIBRE INC,MELI,36937.0,53624028.49,4.57
11/23/2020,ARKF,ZILLOW GROUP INC - C,Z,430997.0,49189687.61,4.190000000000002
11/23/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,454219.0,46493856.84,3.9600000000000004
11/23/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,581808.0,43443603.36,3.7000000000000006
11/23/2020,ARKF,SEA LTD-ADR,SE,232604.0,42547923.68,3.62
11/23/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,203990.0,40965271.8,3.49
11/23/2020,ARKF,ADYEN NV,ADYEN,20594.0,38984025.1,3.32
11/23/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,137097.0,37031270.67,3.15
11/23/2020,ARKF,MEITUAN-CLASS B,3690,928015.0,36873737.51,3.1400000000000006
11/23/2020,ARKF,LENDINGTREE INC,TREE UW,138234.0,35328463.38,3.01
11/23/2020,ARKF,TWILIO INC - A,TWLO,95747.0,28888784.84,2.46
11/23/2020,ARKF,SNAP INC - A,SNAP,612962.0,27742660.12,2.36
11/23/2020,ARKF,AMAZON.COM INC,AMZN,8418.0,26082247.02,2.22
11/23/2020,ARKF,FACEBOOK INC-CLASS A,FB,94552.0,25380593.36,2.16
11/23/2020,ARKF,APPLE INC,AAPL,219164.0,24951821.4,2.13
11/23/2020,ARKF,DOCUSIGN INC,DOCU,114014.0,24760420.38,2.11
11/23/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,5023945.0,24693423.19,2.1
11/23/2020,ARKF,Z HOLDINGS CORP,4689,4057507.0,23709049.65,2.02
11/23/2020,ARKF,SPLUNK INC,SPLK,109445.0,21682148.95,1.8500000000000003
11/23/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,427396.0,20617589.57,1.76
11/23/2020,ARKF,INTUIT INC,INTU,57008.0,19572556.64,1.67
11/23/2020,ARKF,WORKDAY INC-CLASS A,WDAY,86808.0,17977936.8,1.53
11/23/2020,ARKF,PINDUODUO INC-ADR,PDD,117743.0,16607650.15,1.41
11/23/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,139003.0,16506606.25,1.41
11/23/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,161360.0,15834256.8,1.35
11/23/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,530182.0,15868347.26,1.35
11/23/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,310139.0,14961105.36,1.27
11/23/2020,ARKF,LENDINGCLUB CORP,LC,1879598.0,14059393.04,1.2
11/23/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,401682.0,13825894.44,1.18
11/23/2020,ARKF,JD.COM INC-ADR,JD,152426.0,13346420.56,1.1400000000000001
11/23/2020,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,240097.0,12638706.08,1.08
11/23/2020,ARKF,SHOPIFY INC - CLASS A,SHOP,12304.0,12058043.04,1.03
11/23/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,650426.0,12123940.64,1.03
11/23/2020,ARKF,DISCOVERY LTD,DSY,1478795.0,11940619.45,1.02
11/23/2020,ARKF,HDFC BANK LTD-ADR,HDB,177431.0,11818678.91,1.01
11/23/2020,ARKF,TRANSUNION,TRU,122086.0,11594507.42,0.9900000000000001
