date,fund,company,ticker,cusip,shares,market value($),weight(%)
10/11/2021,ARKK,TESLA INC,TSLA,88160R101,2454351.0,1927868166.99,9.72
10/11/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,9150020.0,1203685131.0,6.07
10/11/2021,ARKK,ROKU INC,ROKU,77543R102,3539980.0,1144687932.8,5.77
10/11/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4425168.0,1098061187.52,5.54
10/11/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,7822935.0,1065640205.7,5.38
10/11/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,3444270.0,878461063.5,4.43
10/11/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3325803.0,774513002.64,3.91
10/11/2021,ARKK,SQUARE INC - A,SQ,852234103,3239680.0,772631283.2,3.90
10/11/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,551221.0,759599074.63,3.83
10/11/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2045701.0,655851740.6,3.31
10/11/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,12592777.0,647016882.26,3.26
10/11/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,6751915.0,632586916.35,3.19
10/11/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6899731.0,628151510.24,3.17
10/11/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,24120058.0,566821363.0,2.86
10/11/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,11029151.0,528406624.41,2.67
10/11/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4354613.0,525645335.23,2.65
10/11/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5230420.0,515876324.6,2.60
10/11/2021,ARKK,TWITTER INC,TWTR,90184L102,8050513.0,512656667.84,2.59
10/11/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,5483786.0,458279996.02,2.31
10/11/2021,ARKK,INVITAE CORP,NVTA,46185L103,15871958.0,415051701.7,2.09
10/11/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,6197033.0,340403022.69,1.72
10/11/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2137085.0,331953413.05,1.67
10/11/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1200794.0,315844845.82,1.59
10/11/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,7162828.0,275410736.6,1.39
10/11/2021,ARKK,PAGERDUTY INC,PD,69553P100,6957606.0,274547132.76,1.38
10/11/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7258496.0,268201427.2,1.35
10/11/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,9720561.0,241847557.68,1.22
10/11/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,5673340.0,237032145.2,1.20
10/11/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,20128258.0,207924905.14,1.05
10/11/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,10303145.0,185971767.25,0.94
10/11/2021,ARKK,2U INC,TWOU,90214J101,5274400.0,177219840.0,0.89
10/11/2021,ARKK,VERACYTE INC,VCYT,92337F107,3808574.0,158170078.22,0.80
10/11/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1561310.0,153867100.5,0.78
10/11/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,4044973.0,144041488.53,0.73
10/11/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,5424738.0,143321577.96,0.72
10/11/2021,ARKK,TRIMBLE INC,TRMB,896239100,1375660.0,112707823.8,0.57
10/11/2021,ARKK,STRATASYS LTD,SSYS,M85548101,3673963.0,96808925.05,0.49
10/11/2021,ARKK,PROTO LABS INC,PRLB,743713109,1324409.0,88881087.99,0.45
10/11/2021,ARKK,SKILLZ INC,SKLZ,83067L109,10888477.0,87652239.85,0.44
