date,fund,company,ticker,cusip,shares,market value($),weight(%)
8/4/2021,ARKK,TESLA INC,TSLA,88160R101,3484039.0,2472761839.86,11.0
8/4/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8776188.0,1328802625.08,5.91
8/4/2021,ARKK,ROKU INC,ROKU,77543R102,2968357.0,1240179554.6,5.52
8/4/2021,ARKK,SQUARE INC - A,SQ,852234103,4225928.0,1138845336.72,5.07
8/4/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2885249.0,1081622145.12,4.81
8/4/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,670877.0,1021450485.12,4.55
8/4/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4242742.0,976594353.56,4.35
8/4/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,8480759.0,892175846.8,3.97
8/4/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2271620.0,841090021.2,3.74
8/4/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3468869.0,756039998.55,3.36
8/4/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,6325893.0,659221309.53,2.93
8/4/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6268432.0,655615302.88,2.92
8/4/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,4907686.0,595891234.12,2.65
8/4/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4132128.0,573498045.12,2.55
8/4/2021,ARKK,TWITTER INC,TWTR,90184L102,8251767.0,566318769.21,2.52
8/4/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1755416.0,513740046.56,2.29
8/4/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,22083366.0,491134059.84,2.19
8/4/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,8099231.0,490408437.05,2.18
8/4/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,9516280.0,460492789.2,2.05
8/4/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,4766604.0,440005215.24,1.96
8/4/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2397805.0,428128082.75,1.91
8/4/2021,ARKK,SEA LTD-ADR,SE,81141R100,1355716.0,383626956.52,1.71
8/4/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,4612788.0,384014601.0,1.71
8/4/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,8279229.0,344084757.24,1.53
8/4/2021,ARKK,INVITAE CORP,NVTA,46185L103,11782611.0,335804413.5,1.49
8/4/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,8583949.0,259321099.29,1.15
8/4/2021,ARKK,TERADYNE INC,TER,880770102,1894675.0,240131109.5,1.07
8/4/2021,ARKK,PAGERDUTY INC,PD,69553P100,5673362.0,236238793.68,1.05
8/4/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,4891168.0,228906662.4,1.02
8/4/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,3437538.0,222889963.92,0.99
