date,fund,company,ticker,shares,market value($),weight(%)
12/4/2020,ARKF,SQUARE INC - A,SQ,693176.0,144284584.4,10.65
12/4/2020,ARKF,MERCADOLIBRE INC,MELI,41185.0,64140695.3,4.73
12/4/2020,ARKF,PINTEREST INC- CLASS A,PINS,926463.0,62360224.53,4.6
12/4/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,506385.0,55312433.55,4.08
12/4/2020,ARKF,SEA LTD-ADR,SE,259331.0,51549816.18,3.8
12/4/2020,ARKF,ZILLOW GROUP INC - C,Z,480498.0,51398871.06,3.7900000000000005
12/4/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,227413.0,49523729.01,3.66
12/4/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,648655.0,49122643.15,3.63
12/4/2020,ARKF,ADYEN NV,ADYEN,22954.0,46182478.14,3.4099999999999997
12/4/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,152850.0,40849162.5,3.02
12/4/2020,ARKF,MEITUAN-CLASS B,3690,1034215.0,38510347.59,2.8400000000000003
12/4/2020,ARKF,LENDINGTREE INC,TREE UW,154105.0,37706411.4,2.78
12/4/2020,ARKF,TWILIO INC - A,TWLO,106780.0,34115142.2,2.52
12/4/2020,ARKF,SNAP INC - A,SNAP,683367.0,32869952.7,2.4299999999999997
12/4/2020,ARKF,DOCUSIGN INC,DOCU,127112.0,30916180.64,2.2800000000000002
12/4/2020,ARKF,APPLE INC,AAPL,244357.0,29872643.25,2.2
12/4/2020,ARKF,AMAZON.COM INC,AMZN,9362.0,29608073.96,2.19
12/4/2020,ARKF,FACEBOOK INC-CLASS A,FB,105424.0,29487092.8,2.18
12/4/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,474596.0,28477988.32,2.1
12/4/2020,ARKF,Z HOLDINGS CORP,4689,4544107.0,27415130.79,2.02
12/4/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,5602145.0,25876626.15,1.91
12/4/2020,ARKF,SPLUNK INC,SPLK,158768.0,25572761.76,1.8900000000000001
12/4/2020,ARKF,INTUIT INC,INTU,63557.0,23427110.2,1.73
12/4/2020,ARKF,WORKDAY INC-CLASS A,WDAY,96779.0,21502358.22,1.59
12/4/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,154992.0,20012567.04,1.48
12/4/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,455824.0,19509267.2,1.44
12/4/2020,ARKF,PINDUODUO INC-ADR,PDD,131313.0,19218970.68,1.4200000000000002
12/4/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,447820.0,18974133.4,1.4
12/4/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,179937.0,18664865.01,1.38
12/4/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,345775.0,17631067.25,1.3
12/4/2020,ARKF,LENDINGCLUB CORP,LC,1879598.0,16634442.3,1.23
12/4/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,725153.0,15714065.51,1.16
12/4/2020,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,267709.0,14742734.63,1.09
12/4/2020,ARKF,SBI HOLDINGS INC,8473,513962.0,14618376.83,1.08
12/4/2020,ARKF,SHOPIFY INC - CLASS A,SHOP,13720.0,14459370.8,1.0699999999999998
12/4/2020,ARKF,JD.COM INC-ADR,JD,169949.0,14477955.31,1.0699999999999998
12/4/2020,ARKF,DISCOVERY LTD,DSY,1648619.0,13608768.12,1.0
12/4/2020,ARKF,TCS GROUP HOLDING-GDR REG S,,408094.0,13507911.4,1.0
12/4/2020,ARKF,NVIDIA CORP,NVDA,24692.0,13391212.36,0.9900000000000001
12/4/2020,ARKF,HDFC BANK LTD-ADR,HDB,197845.0,13354537.5,0.9900000000000001
12/4/2020,ARKF,TRANSUNION,TRU,136128.0,12854567.04,0.95
12/4/2020,ARKF,YEAHKA LTD,9923,2310800.0,11329643.25,0.84
12/4/2020,ARKF,VERISK ANALYTICS INC,VRSK,55096.0,10781185.28,0.8
12/4/2020,ARKF,KE HOLDINGS INC,BEKE,161307.0,10004260.14,0.74
12/4/2020,ARKF,TELADOC HEALTH INC,TDOC,34213.0,6967819.58,0.51
12/4/2020,ARKF,MARKETAXESS HOLDINGS INC,MKTX,11973.0,6455482.41,0.48
12/4/2020,ARKF,MORGAN STANLEY GOVT INSTL 8035,,3997437.93,3997437.93,0.3
12/4/2020,ARKF,JD HEALTH INTERNATIONAL INC,6618,100925.0,919074.45,0.07
12/4/2020,ARKF,HONG KONG DOLLAR,,7065601.47,911631.7,0.07
12/4/2020,ARKF,JAPANESE YEN,,25152570.0,241445.36,0.02
12/4/2020,ARKF,JAPANESE YEN,,15091542.0,144867.21,0.01
12/4/2020,ARKF,JAPANESE YEN,,10061028.0,96578.14,0.01
12/4/2020,ARKF,ZSCALER INC,ZS,766.0,138454.5,0.01
12/4/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,3226691.0,476065990.14,9.89
12/4/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3744779.0,419452695.79,8.71
12/4/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,19473950.0,392984311.0,8.16
12/4/2020,ARKG,INVITAE CORP,NVTA,6206187.0,315770794.56,6.559999999999999
12/4/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,2117823.0,272309681.34,5.66
12/4/2020,ARKG,TELADOC HEALTH INC,TDOC,917797.0,186918537.02,3.88
12/4/2020,ARKG,CAREDX INC,CDNA,2676182.0,173710973.62,3.61
12/4/2020,ARKG,EXACT SCIENCES CORP,EXAS,1274832.0,169386927.84,3.52
12/4/2020,ARKG,CELLECTIS - ADR,CLLS,5581234.0,164311528.96,3.4099999999999997
12/4/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,3739676.0,161217432.36,3.35
12/4/2020,ARKG,PERSONALIS INC,PSNL,5026971.0,150658320.87,3.1300000000000003
12/4/2020,ARKG,FATE THERAPEUTICS INC,FATE,2178515.0,132431926.85,2.75
12/4/2020,ARKG,VERACYTE INC,VCYT,2248761.0,129573608.82,2.69
12/4/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,5669211.0,119053431.0,2.47
12/4/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2409636.0,104674587.84,2.17
12/4/2020,ARKG,SERES THERAPEUTICS INC,MCRB,3567728.0,90691645.76,1.8800000000000001
12/4/2020,ARKG,INCYTE CORP,INCY,1075061.0,89380571.54,1.8599999999999999
12/4/2020,ARKG,ACCOLADE INC,ACCD,1551884.0,76585475.4,1.59
12/4/2020,ARKG,COMPUGEN LTD,CGEN,5745076.0,72905014.44,1.51
12/4/2020,ARKG,BERKELEY LIGHTS INC,BLI,870680.0,70768870.4,1.47
12/4/2020,ARKG,EDITAS MEDICINE INC,EDIT,2026424.0,69891363.76,1.4500000000000002
12/4/2020,ARKG,IONIS PHARMACEUTICALS INC,IONS,1205541.0,61747810.02,1.28
12/4/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,267067.0,60976737.44,1.27
12/4/2020,ARKG,CERUS CORP,CERS,8188288.0,58873790.72,1.22
12/4/2020,ARKG,SCHRODINGER INC,SDGR,782401.0,51787122.19,1.08
12/4/2020,ARKG,10X GENOMICS INC-CLASS A,TXG,349517.0,52092013.68,1.08
12/4/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,50302581.18,50302581.18,1.05
12/4/2020,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1012851.0,48394020.78,1.01
12/4/2020,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,5845288.0,47113021.28,0.98
12/4/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,2503544.0,46941450.0,0.98
12/4/2020,ARKG,CASTLE BIOSCIENCES INC,CSTL,881054.0,45814808.0,0.95
12/4/2020,ARKG,GUARDANT HEALTH INC,GH,354072.0,43781002.8,0.91
12/4/2020,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,457396.0,41906621.52,0.8699999999999999
12/4/2020,ARKG,PHREESIA INC,PHR,862743.0,41101076.52,0.8500000000000001
12/4/2020,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,668270.0,39314324.1,0.8199999999999998
12/4/2020,ARKG,BEAM THERAPEUTICS INC,BEAM,650136.0,39047168.16,0.8100000000000002
12/4/2020,ARKG,CODEXIS INC,CDXS,2136764.0,37521575.84,0.7799999999999999
12/4/2020,ARKG,REGENERON PHARMACEUTICALS,REGN,74686.0,36779120.7,0.76
12/4/2020,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,2496470.0,27036770.1,0.56
12/4/2020,ARKG,SYROS PHARMACEUTICALS INC,SYRS,3308514.0,25674068.64,0.53
12/4/2020,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,524507.0,22385958.76,0.4699999999999999
12/4/2020,ARKG,ALPHABET INC-CL A,GOOGL,12125.0,22113090.0,0.45999999999999996
12/4/2020,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,43020.0,20418152.4,0.42
12/4/2020,ARKG,EVOGENE LTD,EVGN,4602387.0,17857261.56,0.37
12/4/2020,ARKG,REPARE THERAPEUTICS INC,RPTX,394490.0,14201640.0,0.3
12/4/2020,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,781519.0,12324554.63,0.26
12/4/2020,ARKG,SURFACE ONCOLOGY INC,SURF,687682.0,5893434.74,0.12
12/4/2020,ARKG,ORGANOVO HOLDINGS INC,ONVO ,375748.0,3028528.88,0.06
12/4/2020,ARKK,TESLA INC,TSLA,2418695.0,1448895052.8,10.2
12/4/2020,ARKK,CRISPR THERAPEUTICS AG,CRSP,6506612.0,959985534.48,6.76
12/4/2020,ARKK,ROKU INC,ROKU,3153790.0,934720280.2,6.58
12/4/2020,ARKK,INVITAE CORP,NVTA,17598486.0,895410967.68,6.3
