date,fund,company,ticker,shares,market value($),weight(%)
11/3/2020,ARKF,SQUARE INC - A,SQ,544431.0,86134428.51,9.520000000000001
11/3/2020,ARKF,PINTEREST INC- CLASS A,PINS,824755.0,49138902.9,5.43
11/3/2020,ARKF,MERCADOLIBRE INC,MELI,36339.0,44841235.83,4.96
11/3/2020,ARKF,LENDINGTREE INC,TREE UW,109632.0,37255146.24,4.12
11/3/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,495653.0,37159105.41,4.11
11/3/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,386958.0,37171185.48,4.11
11/3/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,116783.0,33349721.31,3.6900000000000004
11/3/2020,ARKF,SEA LTD-ADR,SE,198137.0,32968015.43,3.64
11/3/2020,ARKF,ADYEN NV,ADYEN,17554.0,31214691.59,3.45
11/3/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,173785.0,31248280.85,3.45
11/3/2020,ARKF,ZILLOW GROUP INC - C,Z,330442.0,30298226.98,3.35
11/3/2020,ARKF,MEITUAN-CLASS B,3690,791215.0,30208784.04,3.34
11/3/2020,ARKF,SNAP INC - A,SNAP,600688.0,24730324.96,2.73
11/3/2020,ARKF,Z HOLDINGS CORP,4689,3906812.0,24216070.17,2.68
11/3/2020,ARKF,AMAZON.COM INC,AMZN,7913.0,24122068.33,2.67
11/3/2020,ARKF,TWILIO INC - A,TWLO,81559.0,22866696.83,2.53
11/3/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,4278045.0,21741454.33,2.4
11/3/2020,ARKF,FACEBOOK INC-CLASS A,FB,80546.0,21368853.8,2.36
11/3/2020,ARKF,APPLE INC,AAPL,186679.0,20616828.76,2.2800000000000002
11/3/2020,ARKF,SPLUNK INC,SPLK,93235.0,18160313.3,2.01
11/3/2020,ARKF,INTUIT INC,INTU,48561.0,15769213.53,1.7399999999999998
11/3/2020,ARKF,DOCUSIGN INC,DOCU,74003.0,15424445.29,1.7000000000000002
11/3/2020,ARKF,WORKDAY INC-CLASS A,WDAY,61339.0,12830892.02,1.4200000000000002
11/3/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,137466.0,12054393.54,1.3299999999999998
11/3/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,366596.0,11988058.51,1.32
11/3/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,118385.0,11752078.95,1.3
11/3/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,451662.0,11463181.56,1.27
11/3/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,264196.0,11244181.76,1.24
11/3/2020,ARKF,HDFC BANK LTD-ADR,HDB,178353.0,10727932.95,1.1900000000000002
