date,fund,company,ticker,cusip,shares,market value($),weight(%)
1/20/2021,ARKK,TESLA INC,TSLA,88160R101,2559358.0,2176606011.1,9.14
1/20/2021,ARKK,ROKU INC,ROKU,77543R102,4223654.0,1809835739.0,7.6
1/20/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6070635.0,1152024403.95,4.84
1/20/2021,ARKK,SQUARE INC - A,SQ,852234103,4907452.0,1112273995.8,4.67
1/20/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,4444011.0,1096515274.14,4.61
1/20/2021,ARKK,INVITAE CORP,NVTA,46185L103,17456809.0,993816136.37,4.18
1/20/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,4818470.0,715735533.8,3.01
1/20/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,2685795.0,700723915.5,2.94
1/20/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,1951500.0,646746615.0,2.72
1/20/2021,ARKK,PROTO LABS INC,PRLB,743713109,3157475.0,604530163.5,2.54
1/20/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2855287.0,593814037.39,2.49
1/20/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6456860.0,520164641.6,2.19
1/20/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1310007.0,514793450.79,2.16
1/20/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,22255488.0,508983010.56,2.14
1/20/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,3331538.0,500963369.06,2.1
1/20/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,403751.0,484896875.98,2.04
1/20/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,9881055.0,483282400.05,2.03
1/20/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1255169.0,480478693.2,2.02
1/20/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6655763.0,477617552.88,2.01
1/20/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1862698.0,475565426.38,2.0
1/20/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,1935523.0,472770847.98,1.99
1/20/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,5247293.0,462129094.51,1.94
1/20/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,6006937.0,421146353.07,1.77
1/20/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3124405.0,408172269.2,1.71
1/20/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1224240.0,390569287.2,1.64
1/20/2021,ARKK,PAGERDUTY INC,PD,69553P100,7552637.0,373326846.91,1.57
