date,fund,company,ticker,cusip,shares,market value($),weight(%)
9/3/2021,ARKK,TESLA INC,TSLA,88160R101,3277684.0,2400542984.76,10.49
9/3/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8611678.0,1252482448.32,5.48
9/3/2021,ARKK,ROKU INC,ROKU,77543R102,3290831.0,1140240033.19,4.98
9/3/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4163222.0,1116492875.96,4.88
9/3/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,8321789.0,1107962987.46,4.84
9/3/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2988544.0,881889448.96,3.86
9/3/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,571439.0,881501801.4,3.85
9/3/2021,ARKK,SQUARE INC - A,SQ,852234103,3278931.0,871998910.14,3.81
9/3/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3403839.0,864677221.17,3.78
9/3/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2229060.0,799786728.0,3.5
9/3/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4268788.0,742811799.88,3.25
9/3/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,6564569.0,713174776.16,3.12
9/3/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,26163200.0,693586432.0,3.03
9/3/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6585501.0,651767033.97,2.85
9/3/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,4914635.0,624502669.45,2.73
9/3/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,10080302.0,615604043.14,2.69
9/3/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,4877061.0,556326348.27,2.43
9/3/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,8479234.0,521896852.7,2.28
9/3/2021,ARKK,TWITTER INC,TWTR,90184L102,7571218.0,489100682.8,2.14
9/3/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,6053035.0,457004142.5,2.0
9/3/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2187233.0,401488489.48,1.76
9/3/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1346943.0,396768999.51,1.73
9/3/2021,ARKK,INVITAE CORP,NVTA,46185L103,12666450.0,393419937.0,1.72
9/3/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,8124036.0,374355578.88,1.64
9/3/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,7330906.0,333629532.06,1.46
9/3/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,4279184.0,312123680.96,1.36
9/3/2021,ARKK,SEA LTD-ADR,SE,81141R100,822008.0,278660712.0,1.22
9/3/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,8423019.0,265156638.12,1.16
9/3/2021,ARKK,PAGERDUTY INC,PD,69553P100,5631743.0,249486214.9,1.09
9/3/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,4799468.0,213528331.32,0.93
9/3/2021,ARKK,TERADYNE INC,TER,880770102,1769383.0,213865323.21,0.93
9/3/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1719552.0,202442856.96,0.88
9/3/2021,ARKK,VERACYTE INC,VCYT,92337F107,3581406.0,189707075.82,0.83
9/3/2021,ARKK,2U INC,TWOU,90214J101,4815407.0,179614681.1,0.79
9/3/2021,ARKK,SKILLZ INC,SKLZ,83067L109,13425566.0,166074251.42,0.73
9/3/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,6522467.0,159800441.5,0.7
9/3/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,4304742.0,158931074.64,0.69
9/3/2021,ARKK,TRIMBLE INC,TRMB,896239100,1644337.0,155159639.32,0.68
9/3/2021,ARKK,PROTO LABS INC,PRLB,743713109,1736349.0,134185050.72,0.59
9/3/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,4304395.0,114884302.55,0.5
9/3/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,1794209.0,111133305.46,0.49
9/3/2021,ARKK,SOARING EAGLE ACQU - CL A,SRNG,G8354H126,10146865.0,101214978.38,0.44
9/3/2021,ARKK,STRATASYS LTD,SSYS,M85548101,3870512.0,89834583.52,0.39
9/3/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3447685.0,82641009.45,0.36
9/3/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1268275.0,76895513.25,0.34
9/3/2021,ARKK,CERUS CORP,CERS,157085101,11395219.0,74638684.45,0.33
9/3/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,5995114.0,42505358.26,0.19
9/3/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,12256.0,82850.56,0.0
9/3/2021,ARKQ,TESLA INC,TSLA,88160R101,452673.0,331533178.47,11.81
9/3/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2109550.0,199057138.0,7.09
9/3/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,7674020.0,186708906.6,6.65
9/3/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,1251479.0,166621914.06,5.93
