date,fund,company,ticker,cusip,shares,market value($),weight(%)
8/18/2021,ARKK,TESLA INC,TSLA,88160R101,3252676.0,2165338939.96,10.25
8/18/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8545854.0,1187360954.76,5.62
8/18/2021,ARKK,ROKU INC,ROKU,77543R102,3265687.0,1165980886.48,5.52
8/18/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4131414.0,1036158631.2,4.91
8/18/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,8258201.0,997425516.78,4.72
8/18/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2809495.0,970792902.3,4.6
8/18/2021,ARKK,SQUARE INC - A,SQ,852234103,3462251.0,903232040.88,4.28
8/18/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,587921.0,871222492.27,4.13
8/18/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2212036.0,762179124.16,3.61
8/18/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3377827.0,696372814.32,3.3
8/18/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4144628.0,635993166.6,3.01
8/18/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,25963252.0,622339150.44,2.95
8/18/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,6514393.0,609551753.01,2.89
8/18/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6535150.0,608879925.5,2.88
8/18/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,4828675.0,582096771.25,2.76
8/18/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,8414442.0,504193364.64,2.39
8/18/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,4785474.0,488549040.66,2.31
8/18/2021,ARKK,TWITTER INC,TWTR,90184L102,7513341.0,472438882.08,2.24
8/18/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,9266494.0,473610508.34,2.24
8/18/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1445376.0,412770478.08,1.95
8/18/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,4795657.0,404945277.08,1.92
8/18/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2170517.0,353251641.75,1.67
8/18/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,8061906.0,315704238.96,1.49
8/18/2021,ARKK,INVITAE CORP,NVTA,46185L103,11974227.0,309054798.87,1.46
8/18/2021,ARKK,SEA LTD-ADR,SE,81141R100,987703.0,304479203.81,1.44
8/18/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,4195147.0,256323481.7,1.21
8/18/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,8358647.0,229026927.8,1.08
8/18/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,4762788.0,222279315.96,1.05
8/18/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,6829767.0,214044897.78,1.01
8/18/2021,ARKK,PAGERDUTY INC,PD,69553P100,5588707.0,213488607.4,1.01
8/18/2021,ARKK,TERADYNE INC,TER,880770102,1755859.0,203837671.31,0.97
8/18/2021,ARKK,2U INC,TWOU,90214J101,4942494.0,180549305.82,0.85
8/18/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1764929.0,171798188.86,0.81
8/18/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,4271842.0,159467861.86,0.76
8/18/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7515760.0,159258954.4,0.75
8/18/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,2572314.0,152203819.38,0.72
8/18/2021,ARKK,TRIMBLE INC,TRMB,896239100,1631765.0,144574379.0,0.68
8/18/2021,ARKK,SKILLZ INC,SKLZ,83067L109,13322968.0,142156068.56,0.67
8/18/2021,ARKK,PROTO LABS INC,PRLB,743713109,1827679.0,132049807.75,0.63
8/18/2021,ARKK,VERACYTE INC,VCYT,92337F107,3385934.0,129004085.4,0.61
8/18/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1713136.0,90299398.56,0.43
8/18/2021,ARKK,STRATASYS LTD,SSYS,M85548101,3972652.0,80446203.0,0.38
8/18/2021,ARKK,SOARING EAGLE ACQU - CL A,SRNG,G8354H126,7634390.0,76114868.3,0.36
8/18/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3538699.0,71517106.79,0.34
8/18/2021,ARKK,CERUS CORP,CERS,157085101,11695973.0,68655361.51,0.33
8/18/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,2397322.0,59189880.18,0.28
8/18/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,6153353.0,37781587.42,0.18
8/18/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,2409944.0,15399542.16,0.07
8/18/2021,ARKQ,TESLA INC,TSLA,88160R101,462319.0,307770381.49,11.68
8/18/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2210885.0,195884411.0,7.43
8/18/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,7158408.0,162782197.92,6.18
8/18/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,1278149.0,154374836.22,5.86
8/18/2021,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,2354644.0,141090268.48,5.35
8/18/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,3532612.0,138337085.92,5.25
8/18/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,48726.0,133802083.26,5.08
8/18/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,261857.0,94687491.2,3.59
8/18/2021,ARKQ,DEERE & CO,DE,244199105,205838.0,77463014.54,2.94
8/18/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1158210.0,74426574.6,2.82
8/18/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,2495391.0,68872791.6,2.61
8/18/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,2646760.0,66089597.2,2.51
8/18/2021,ARKQ,TERADYNE INC,TER,880770102,563215.0,65383629.35,2.48
8/18/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,741359.0,61295562.12,2.33
8/18/2021,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,1839337.0,57644821.58,2.19
8/18/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,377300.0,53719974.0,2.04
8/18/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,260510.0,53795315.0,2.04
8/18/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,2142813.0,52134640.29,1.98
8/18/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,520112.0,51844764.16,1.97
8/18/2021,ARKQ,CATERPILLAR INC,CAT,149123101,228779.0,48830589.76,1.85
8/18/2021,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,4954542.0,44739514.26,1.7
8/18/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,38417.0,39761595.0,1.51
8/18/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,85066.0,38772232.14,1.47
8/18/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,7192886.0,38769655.54,1.47
8/18/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,123810.0,36105472.2,1.37
