date,fund,company,ticker,cusip,shares,market value($),weight(%)
2/22/2021,ARKK,TESLA INC,TSLA,88160R101,3409650.0,2436194925.0,9.13
2/22/2021,ARKK,ROKU INC,ROKU,77543R102,4036263.0,1764977084.64,6.61
2/22/2021,ARKK,SQUARE INC - A,SQ,852234103,5206826.0,1395845914.08,5.23
2/22/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,5050555.0,1357387161.8,5.09
2/22/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,2851080.0,957364153.2,3.59
2/22/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2726490.0,954026115.9,3.57
2/22/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5275163.0,894773148.06,3.35
2/22/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6019835.0,834108337.6,3.12
2/22/2021,ARKK,INVITAE CORP,NVTA,46185L103,17310715.0,775693139.15,2.91
2/22/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,543378.0,750568031.4,2.81
2/22/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,2501841.0,685129157.85,2.57
2/22/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4270085.0,607718497.2,2.28
2/22/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1394668.0,570712092.28,2.14
2/22/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1426553.0,562546910.02,2.11
2/22/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,6157516.0,555962119.64,2.08
2/22/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,21142054.0,556247440.74,2.08
2/22/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2117125.0,515541108.75,1.93
2/22/2021,ARKK,PROTO LABS INC,PRLB,743713109,3083499.0,509671549.71,1.91
2/22/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11229923.0,482886689.0,1.81
2/22/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,4066416.0,469508391.36,1.76
2/22/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,6053418.0,464236626.42,1.74
2/22/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3358944.0,448654150.08,1.68
2/22/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3129241.0,429363157.61,1.61
2/22/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6402822.0,423610703.52,1.59
2/22/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1213994.0,409722975.0,1.53
2/22/2021,ARKK,2U INC,TWOU,90214J101,7987942.0,386057236.86,1.45
2/22/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4831706.0,384120627.0,1.44
2/22/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,3377714.0,377358208.08,1.41
2/22/2021,ARKK,PAGERDUTY INC,PD,69553P100,7489431.0,363237403.5,1.36
2/22/2021,ARKK,SEA LTD-ADR,SE,81141R100,1403741.0,355090323.36,1.33
2/22/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6600062.0,345975250.04,1.3
2/22/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5719547.0,332305680.7,1.24
2/22/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7340297.0,324441127.4,1.22
2/22/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,1774043.0,317021484.1,1.19
2/22/2021,ARKK,VERACYTE INC,VCYT,92337F107,4800960.0,302892566.4,1.13
2/22/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,594469.0,273800532.02,1.03
2/22/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,3111768.0,273555524.88,1.02
2/22/2021,ARKK,PACCAR INC,PCAR,693718108,2877441.0,272436113.88,1.02
2/22/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,7196485.0,269436398.4,1.01
2/22/2021,ARKK,STRATASYS LTD,SSYS,M85548101,6629873.0,267117583.17,1.0
2/22/2021,ARKK,SYNOPSYS INC,SNPS,871607107,960602.0,244655723.38,0.92
2/22/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,6822005.0,192789861.3,0.72
2/22/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,7970749.0,175994137.92,0.66
2/22/2021,ARKK,SNAP INC - A,SNAP,83304A106,2346336.0,148781165.76,0.56
2/22/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,5332420.0,149307760.0,0.56
2/22/2021,ARKK,TERADYNE INC,TER,880770102,1107553.0,146628941.67,0.55
2/22/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1850870.0,143127777.1,0.54
2/22/2021,ARKK,CERUS CORP,CERS,157085101,18903755.0,136863186.2,0.51
2/22/2021,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,1637634.0,132631977.66,0.5
2/22/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,1213974.0,122562815.04,0.46
2/22/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,9945716.0,117558363.12,0.44
2/22/2021,ARKK,TWITTER INC,TWTR,90184L102,973900.0,68650211.0,0.26
2/22/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,558139.0,61624126.99,0.23
2/22/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,5014189.0,52448416.94,0.2
2/22/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,68620A203,131795.0,1701473.45,0.01
2/22/2021,ARKQ,TESLA INC,TSLA,88160R101,552578.0,394816981.0,9.7
2/22/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,703676.0,236287364.04,5.81
2/22/2021,ARKQ,DEERE & CO,DE,244199105,565591.0,190892618.41,4.69
2/22/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2512567.0,182211358.84,4.48
2/22/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1795774.0,175375288.84,4.31
2/22/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5115933.0,156035956.5,3.83
2/22/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,72352.0,149398197.76,3.67
2/22/2021,ARKQ,TERADYNE INC,TER,880770102,1109314.0,146862080.46,3.61
2/22/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,693131.0,128652044.91,3.16
2/22/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3963362.0,122507519.42,3.01
2/22/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,2045445.0,118840354.5,2.92
2/22/2021,ARKQ,CATERPILLAR INC,CAT,149123101,520311.0,113459016.66,2.79
2/22/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,777574.0,103860559.18,2.55
2/22/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,296226.0,100856066.22,2.48
2/22/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,173347.0,99541047.81,2.45
2/22/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,7559513.0,94115936.85,2.31
2/22/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,2127703.0,94044472.6,2.31
2/22/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,232277.0,92471796.47,2.27
2/22/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1455242.0,87314520.0,2.15
2/22/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,2632271.0,82495373.14,2.03
2/22/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,313384.0,79815770.96,1.96
2/22/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,629996.0,79171597.32,1.95
2/22/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1615926.0,76158592.38,1.87
2/22/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,1737591.0,69816406.38,1.72
2/22/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,778472.0,67532446.0,1.66
2/22/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,86898.0,64426177.2,1.58
2/22/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1476289.0,59479683.81,1.46
2/22/2021,ARKQ,2U INC,TWOU,90214J101,1201373.0,58062357.09,1.43
2/22/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,1193529.0,50462406.12,1.24
2/22/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,547008.0,49389352.32,1.21
2/22/2021,ARKQ,AMAZON.COM INC,AMZN,023135106,14196.0,45153785.04,1.11
2/22/2021,ARKQ,EXONE CO/THE,XONE,302104104,997483.0,44707188.06,1.1
2/22/2021,ARKQ,FLIR SYSTEMS INC,FLIR,302445101,802833.0,44187928.32,1.09
2/22/2021,ARKQ,ANSYS INC,ANSS,03662Q105,114446.0,43855707.2,1.08
2/22/2021,ARKQ,ROCKWELL AUTOMATION INC,ROK,773903109,175177.0,42734429.15,1.05
