date,fund,company,ticker,shares,market value($),weight(%)
10/16/2020,ARKF,SQUARE INC - A,SQ,559896.0,104336619.6,11.99
10/16/2020,ARKF,MERCADOLIBRE INC,MELI,33932.0,43140466.16,4.96
10/16/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,361322.0,36601918.6,4.21
10/16/2020,ARKF,PINTEREST INC- CLASS A,PINS,827418.0,36456037.08,4.190000000000002
10/16/2020,ARKF,LENDINGTREE INC,TREE UW,102363.0,34549559.76,3.9699999999999998
10/16/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,462825.0,33656634.0,3.8699999999999997
10/16/2020,ARKF,SEA LTD-ADR,SE,198136.0,32732067.2,3.7600000000000002
10/16/2020,ARKF,ADYEN NV,ADYEN,16394.0,31247250.25,3.5900000000000003
10/16/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,100235.0,30803217.85,3.54
10/16/2020,ARKF,ZILLOW GROUP INC - C,Z,308547.0,29962999.17,3.44
10/16/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,139590.0,28539175.5,3.2800000000000002
10/16/2020,ARKF,Z HOLDINGS CORP,4689,3648712.0,26240262.77,3.02
10/16/2020,ARKF,MEITUAN DIANPING-CLASS B,3690,739015.0,25345667.06,2.91
10/16/2020,ARKF,TWILIO INC - A,TWLO,76159.0,24863628.73,2.86
10/16/2020,ARKF,AMAZON.COM INC,AMZN,7391.0,24188599.61,2.78
10/16/2020,ARKF,APPLE INC,AAPL,197059.0,23453962.18,2.7
10/16/2020,ARKF,FACEBOOK INC-CLASS A,FB,75210.0,20000595.3,2.3
10/16/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,3564585.0,18397739.37,2.11
10/16/2020,ARKF,SPLUNK INC,SPLK,87058.0,18038417.6,2.07
10/16/2020,ARKF,SNAP INC - A,SNAP,601329.0,16734986.07,1.92
10/16/2020,ARKF,DOCUSIGN INC,DOCU,69102.0,16211329.2,1.8599999999999999
10/16/2020,ARKF,INTUIT INC,INTU,45342.0,15468423.3,1.78
10/16/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,421734.0,13600921.5,1.5599999999999998
10/16/2020,ARKF,WORKDAY INC-CLASS A,WDAY,57279.0,13142666.55,1.51
10/16/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,343396.0,12284782.99,1.41
10/16/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,110534.0,11675706.42,1.34
10/16/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,128360.0,11128812.0,1.28
10/16/2020,ARKF,SBI HOLDINGS INC,8473,432174.0,10472223.87,1.2
10/16/2020,ARKF,NVIDIA CORP,NVDA,17577.0,9710589.42,1.12
10/16/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,246688.0,9692371.52,1.11
10/16/2020,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,190963.0,9632173.72,1.11
10/16/2020,ARKF,LENDINGCLUB CORP,LC,1879598.0,9360398.04,1.08
10/16/2020,ARKF,HDFC BANK LTD-ADR,HDB,166529.0,9325624.0,1.0699999999999998
10/16/2020,ARKF,ZSCALER INC,ZS,58063.0,8991055.55,1.03
10/16/2020,ARKF,DISCOVERY LTD,DSY,1176314.0,8681213.31,1.0
10/16/2020,ARKF,TRANSUNION,TRU,97077.0,8468026.71,0.97
10/16/2020,ARKF,YEAHKA LTD,9923,1300800.0,8417380.53,0.97
10/16/2020,ARKF,JD.COM INC-ADR,JD,100514.0,8193901.28,0.9400000000000001
10/16/2020,ARKF,PINDUODUO INC-ADR,PDD,94016.0,7899224.32,0.91
10/16/2020,ARKF,VERISK ANALYTICS INC,VRSK,39282.0,7560606.54,0.8699999999999999
10/16/2020,ARKF,TCS GROUP HOLDING-GDR REG S,,291128.0,6841508.0,0.79
10/16/2020,ARKF,MARKETAXESS HOLDINGS INC,MKTX,8529.0,4589199.03,0.53
10/16/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,201818.0,4623650.38,0.53
10/16/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,256725.0,4333518.0,0.5
10/16/2020,ARKF,SALESFORCE.COM INC,CRM,877.0,226748.35,0.03
10/16/2020,ARKG,INVITAE CORP,NVTA,6298765.0,296230917.95,9.67
10/16/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,2537146.0,278654745.18,9.1
10/16/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,15059225.0,216401063.25,7.06
10/16/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,2892286.0,159451727.18,5.21
10/16/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,1635831.0,155273078.52,5.07
10/16/2020,ARKG,SERES THERAPEUTICS INC,MCRB,3293319.0,112137511.95,3.66
10/16/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,2981407.0,112220159.48,3.66
10/16/2020,ARKG,CAREDX INC,CDNA,2154552.0,111088701.12,3.63
10/16/2020,ARKG,PERSONALIS INC,PSNL,3816194.0,101625246.22,3.32
10/16/2020,ARKG,COMPUGEN LTD,CGEN,6177420.0,97665010.2,3.19
10/16/2020,ARKG,TELADOC HEALTH INC,TDOC,391758.0,86692127.82,2.83
10/16/2020,ARKG,CELLECTIS - ADR,CLLS,4274934.0,84130701.12,2.75
10/16/2020,ARKG,ILLUMINA INC,ILMN,251461.0,82054238.91,2.68
10/16/2020,ARKG,FATE THERAPEUTICS INC,FATE,1668668.0,81164011.52,2.65
10/16/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,4342345.0,79334643.15,2.59
10/16/2020,ARKG,VERACYTE INC,VCYT,1742291.0,74604900.62,2.44
10/16/2020,ARKG,EDITAS MEDICINE INC,EDIT,2033669.0,68453298.54,2.23
10/16/2020,ARKG,INCYTE CORP,INCY,752529.0,68201703.27,2.23
10/16/2020,ARKG,EXACT SCIENCES CORP,EXAS,613318.0,63368015.76,2.07
10/16/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2418252.0,63140559.72,2.06
10/16/2020,ARKG,CERUS CORP,CERS,8217565.0,52838942.95,1.72
10/16/2020,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,936017.0,48382718.73,1.58
10/16/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,204576.0,44613934.08,1.46
10/16/2020,ARKG,10X GENOMICS INC-CLASS A,TXG,267756.0,43831657.2,1.43
10/16/2020,ARKG,IONIS PHARMACEUTICALS INC,IONS,812169.0,38277524.97,1.25
10/16/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,35116049.42,35116049.42,1.15
10/16/2020,ARKG,SCHRODINGER INC,SDGR,599229.0,34719328.26,1.13
10/16/2020,ARKG,SYROS PHARMACEUTICALS INC,SYRS,3802683.0,31942537.2,1.04
10/16/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,1917552.0,31965591.84,1.04
10/16/2020,ARKG,ACCOLADE INC,ACCD,765780.0,31879421.4,1.04
10/16/2020,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,747624.0,30061961.04,0.98
10/16/2020,ARKG,XILINX INC,XLNX,245489.0,28972611.78,0.95
10/16/2020,ARKG,GUARDANT HEALTH INC,GH,271137.0,27384837.0,0.89
10/16/2020,ARKG,CASTLE BIOSCIENCES INC,CSTL,518874.0,25928133.78,0.8500000000000001
10/16/2020,ARKG,CODEXIS INC,CDXS,1636598.0,23026933.86,0.75
10/16/2020,ARKG,PHREESIA INC,PHR,660809.0,21674535.2,0.7100000000000001
10/16/2020,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,1912151.0,20421772.68,0.67
10/16/2020,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,4477061.0,19743839.01,0.64
10/16/2020,ARKG,EVOGENE LTD,EVGN,4618845.0,17643987.9,0.58
10/16/2020,ARKG,BEAM THERAPEUTICS INC,BEAM,497948.0,16238084.28,0.53
10/16/2020,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,32900.0,15416611.0,0.5
10/16/2020,ARKG,APPLE INC,AAPL,125821.0,14975215.42,0.49
10/16/2020,ARKG,BERKELEY LIGHTS INC,BLI,100071.0,7516332.81,0.25
10/16/2020,ARKG,SURFACE ONCOLOGY INC,SURF,526624.0,4960798.08,0.16
10/16/2020,ARKG,ORGANOVO HOLDINGS INC,ONVO ,377092.0,3642708.72,0.12
10/16/2020,ARKG,CELLULAR BIOMEDICINE GROUP I,CBMG,12976.0,238369.12,0.01
10/16/2020,ARKK,TESLA INC,TSLA,2466031.0,1084239849.77,10.07
10/16/2020,ARKK,INVITAE CORP,NVTA,17671295.0,831081003.85,7.719999999999999
10/16/2020,ARKK,SQUARE INC - A,SQ,3773026.0,703103395.1,6.529999999999999
10/16/2020,ARKK,CRISPR THERAPEUTICS AG,CRSP,5566294.0,611346070.02,5.680000000000001
10/16/2020,ARKK,ROKU INC,ROKU,2683170.0,596522354.4,5.54
10/16/2020,ARKK,PROTO LABS INC,PRLB,2562240.0,373805193.6,3.47
10/16/2020,ARKK,SLACK TECHNOLOGIES INC- CL A,WORK,10713810.0,345520372.5,3.2099999999999995
10/16/2020,ARKK,ZILLOW GROUP INC - C,Z,3193739.0,310143994.29,2.88
10/16/2020,ARKK,LENDINGTREE INC,TREE UW,897984.0,303087559.68,2.82
10/16/2020,ARKK,PURE STORAGE INC - CLASS A,PSTG,16046103.0,293162301.81,2.7199999999999998
10/16/2020,ARKK,2U INC,TWOU,8154344.0,290294646.4,2.7
10/16/2020,ARKK,SERES THERAPEUTICS INC,MCRB,8422971.0,286802162.55,2.6599999999999997
10/16/2020,ARKK,TELADOC HEALTH INC,TDOC,1249244.0,276445204.76,2.5700000000000003
10/16/2020,ARKK,MATERIALISE NV-ADR,MTLS,5125641.0,246235793.64,2.29
10/16/2020,ARKK,EDITAS MEDICINE INC,EDIT,7170082.0,241344960.12,2.24
10/16/2020,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,6278167.0,236310205.88,2.2
10/16/2020,ARKK,PAGERDUTY INC,PD,7198015.0,219251536.9,2.04
10/16/2020,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,783711.0,205763323.05,1.91
10/16/2020,ARKK,ILLUMINA INC,ILMN,608801.0,198657854.31,1.8500000000000003
10/16/2020,ARKK,VERACYTE INC,VCYT,4259387.0,182386951.34,1.69
10/16/2020,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6850930.0,178877782.3,1.66
10/16/2020,ARKK,COMPUGEN LTD,CGEN,10985448.0,173679932.88,1.6099999999999999
10/16/2020,ARKK,TWILIO INC - A,TWLO,494346.0,161389138.62,1.5
10/16/2020,ARKK,TWIST BIOSCIENCE CORP,TWST,1667559.0,158284700.28,1.47
10/16/2020,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,1815350.0,157390845.0,1.46
10/16/2020,ARKK,SPLUNK INC,SPLK,746859.0,154749184.8,1.44
10/16/2020,ARKK,DOCUSIGN INC,DOCU,557676.0,130830789.6,1.22
10/16/2020,ARKK,MORGAN STANLEY GOVT INSTL 8035,,129271849.27,129271849.27,1.2
10/16/2020,ARKK,CERUS CORP,CERS,19297523.0,124083072.89,1.15
10/16/2020,ARKK,PINTEREST INC- CLASS A,PINS,2755134.0,121391204.04,1.13
10/16/2020,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2859812.0,114993040.52,1.0699999999999998
10/16/2020,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,1100727.0,111503645.1,1.04
10/16/2020,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,199419.0,111475221.0,1.04
10/16/2020,ARKK,STRATASYS LTD,SSYS,7491022.0,108395088.34,1.01
10/16/2020,ARKK,SYNOPSYS INC,SNPS,480284.0,108774720.32,1.01
10/16/2020,ARKK,ZSCALER INC,ZS,681767.0,105571619.95,0.98
10/16/2020,ARKK,HUYA INC-ADR,HUYA,4568343.0,101371531.17,0.9400000000000001
10/16/2020,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,3455361.0,96888322.44,0.9000000000000001
10/16/2020,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,6447754.0,92654224.98,0.86
10/16/2020,ARKK,FACEBOOK INC-CLASS A,FB,328459.0,87347101.87,0.8100000000000002
10/16/2020,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,1068058.0,73535793.3,0.68
10/16/2020,ARKK,XILINX INC,XLNX,547181.0,64578301.62,0.6
10/16/2020,ARKK,SYROS PHARMACEUTICALS INC,SYRS,6554634.0,55058925.6,0.51
10/16/2020,ARKK,UNITY SOFTWARE INC,U,570896.0,52842133.76,0.49
10/16/2020,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,707924.0,51480233.28,0.48
10/16/2020,ARKK,SEA LTD-ADR,SE,310428.0,51282705.6,0.48
10/16/2020,ARKK,EXONE CO/THE,XONE,2012565.0,24553293.0,0.22999999999999998
10/16/2020,ARKK,DOUYU INTERNATIONAL HOLD-ADR,DOYU,1216005.0,18580556.4,0.16999999999999998
10/16/2020,ARKK,ORGANOVO HOLDINGS INC,ONVO ,838729.0,8102122.14,0.08
10/16/2020,ARKQ,TESLA INC,TSLA,181584.0,79837037.28,10.22
10/16/2020,ARKQ,MATERIALISE NV-ADR,MTLS,1301057.0,62502778.28,8.0
10/16/2020,ARKQ,2U INC,TWOU,1213773.0,43210318.8,5.53
10/16/2020,ARKQ,XILINX INC,XLNX,335805.0,39631706.1,5.07
10/16/2020,ARKQ,ALPHABET INC-CL C,GOOG,20560.0,32341085.6,4.14
10/16/2020,ARKQ,PROTO LABS INC,PRLB,221474.0,32310841.86,4.14
10/16/2020,ARKQ,DEERE & CO,DE,121077.0,29065744.62,3.7199999999999998
10/16/2020,ARKQ,JD.COM INC-ADR,JD,333610.0,27195887.2,3.4799999999999995
10/16/2020,ARKQ,TRIMBLE INC,TRMB,504356.0,26397993.04,3.38
10/16/2020,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,1246909.0,25923238.11,3.32
10/16/2020,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,749852.0,25165033.12,3.2199999999999998
10/16/2020,ARKQ,STRATASYS LTD,SSYS,1710878.0,24756404.66,3.17
10/16/2020,ARKQ,CATERPILLAR INC,CAT,139319.0,23510081.25,3.01
10/16/2020,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,723611.0,20290052.44,2.6
10/16/2020,ARKQ,FLIR SYSTEMS INC,FLIR,509140.0,18929825.2,2.42
10/16/2020,ARKQ,SPLUNK INC,SPLK,90669.0,18786616.8,2.41
10/16/2020,ARKQ,WORKHORSE GROUP INC,WKHS,822347.0,18757735.07,2.4
10/16/2020,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,767834.0,17790713.78,2.2800000000000002
10/16/2020,ARKQ,AEROVIRONMENT INC,AVAV,227062.0,17029650.0,2.18
10/16/2020,ARKQ,SYNOPSYS INC,SNPS,69237.0,15680795.76,2.01
10/16/2020,ARKQ,NXP SEMICONDUCTORS NV,NXPI,101586.0,13940646.78,1.79
10/16/2020,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,160018.0,13873560.6,1.78
10/16/2020,ARKQ,BAIDU INC - SPON ADR,BIDU,106521.0,13887142.77,1.78
10/16/2020,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,413971.0,13205674.9,1.69
10/16/2020,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,569445.0,12778345.8,1.6399999999999997
10/16/2020,ARKQ,EXONE CO/THE,XONE,1007780.0,12294916.0,1.5700000000000003
10/16/2020,ARKQ,AMAZON.COM INC,AMZN,3517.0,11510121.07,1.47
10/16/2020,ARKQ,TERADYNE INC,TER,132857.0,11504087.63,1.47
10/16/2020,ARKQ,INTUITIVE SURGICAL INC,ISRG,14444.0,10871709.92,1.39
10/16/2020,ARKQ,NVIDIA CORP,NVDA,16193.0,8945984.78,1.15
10/16/2020,ARKQ,ELBIT SYSTEMS LTD,ESLT,71605.0,8577562.95,1.1
10/16/2020,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,115787.0,8420030.64,1.08
10/16/2020,ARKQ,ANSYS INC,ANSS,23925.0,8367051.0,1.0699999999999998
10/16/2020,ARKQ,ROCKWELL AUTOMATION INC,ROK,31237.0,7778950.11,1.0
10/16/2020,ARKQ,APPLE INC,AAPL,64612.0,7690120.24,0.98
10/16/2020,ARKQ,AUTODESK INC,ADSK,25082.0,6520567.54,0.83
10/16/2020,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,3733926.65,3733926.65,0.48
10/16/2020,ARKQ,RAVEN INDUSTRIES INC,RAVN,151340.0,3679075.4,0.4699999999999999
10/16/2020,ARKQ,NANO DIMENSION LTD - ADR,NNDM,472946.0,2322164.86,0.3
10/16/2020,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,199201.0,1924281.66,0.25
10/16/2020,ARKW,TESLA INC,TSLA,680004.0,298977358.68,9.99
10/16/2020,ARKW,ROKU INC,ROKU,896064.0,199212948.48,6.660000000000001
10/16/2020,ARKW,SQUARE INC - A,SQ,1007924.0,187826637.4,6.27
10/16/2020,ARKW,FACEBOOK INC-CLASS A,FB,350032.0,93084009.76,3.11
10/16/2020,ARKW,SLACK TECHNOLOGIES INC- CL A,WORK,2862719.0,92322687.75,3.08
10/16/2020,ARKW,PURE STORAGE INC - CLASS A,PSTG,4900095.0,89524735.65,2.9900000000000007
10/16/2020,ARKW,PINTEREST INC- CLASS A,PINS,1945752.0,85729833.12,2.86
10/16/2020,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,312823.0,82131678.65,2.74
10/16/2020,ARKW,LENDINGTREE INC,TREE UW,241928.0,81655538.56,2.73
10/16/2020,ARKW,PAGERDUTY INC,PD,2650074.0,80721254.04,2.7
10/16/2020,ARKW,TWILIO INC - A,TWLO,234352.0,76508897.44,2.56
10/16/2020,ARKW,SEA LTD-ADR,SE,447573.0,73939059.6,2.47
10/16/2020,ARKW,2U INC,TWOU,1932824.0,68808534.4,2.3
10/16/2020,ARKW,HUYA INC-ADR,HUYA,3063276.0,67974094.44,2.27
10/16/2020,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,929313.0,67579641.36,2.26
10/16/2020,ARKW,ZILLOW GROUP INC - C,Z,681233.0,66154536.63,2.21
10/16/2020,ARKW,TELADOC HEALTH INC,TDOC,298044.0,65954156.76,2.2
10/16/2020,ARKW,SNAP INC - A,SNAP,2361078.0,65708800.74,2.2
10/16/2020,ARKW,VERACYTE INC,VCYT,1514815.0,64864378.3,2.17
10/16/2020,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,4901551.0,60926278.93,2.04
10/16/2020,ARKW,MERCADOLIBRE INC,MELI,42903.0,54546016.14,1.82
10/16/2020,ARKW,AMAZON.COM INC,AMZN,16597.0,54317167.87,1.81
10/16/2020,ARKW,SPLUNK INC,SPLK,255694.0,52979796.8,1.77
10/16/2020,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,171936.0,52837652.16,1.77
10/16/2020,ARKW,NETFLIX INC,NFLX,93033.0,49380986.07,1.6500000000000001
10/16/2020,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,475762.0,48194690.6,1.6099999999999999
10/16/2020,ARKW,TRADE DESK INC/THE -CLASS A,TTD,72094.0,43616870.0,1.46
10/16/2020,ARKW,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,1681824.0,38530587.84,1.29
10/16/2020,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,266611.0,38749242.74,1.29
