date,fund,company,ticker,shares,market value($),weight(%)
10/21/2020,ARKF,SQUARE INC - A,SQ,580438.0,103213485.16,11.32
10/21/2020,ARKF,MERCADOLIBRE INC,MELI,35177.0,45699496.01,5.01
10/21/2020,ARKF,PINTEREST INC- CLASS A,PINS,857778.0,42357077.64,4.64
10/21/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,374582.0,37259671.54,4.09
10/21/2020,ARKF,LENDINGTREE INC,TREE UW,106120.0,36184797.6,3.9699999999999998
10/21/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,479805.0,34972986.45,3.84
10/21/2020,ARKF,SEA LTD-ADR,SE,191795.0,32294442.1,3.54
10/21/2020,ARKF,ADYEN NV,ADYEN,16994.0,32115296.31,3.52
10/21/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,103910.0,32001162.7,3.51
10/21/2020,ARKF,ZILLOW GROUP INC - C,Z,319872.0,31555372.8,3.46
10/21/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,144712.0,30833785.84,3.38
10/21/2020,ARKF,Z HOLDINGS CORP,4689,3782212.0,27347829.1,3.0
10/21/2020,ARKF,MEITUAN DIANPING-CLASS B,3690,766015.0,26587962.01,2.92
10/21/2020,ARKF,AMAZON.COM INC,AMZN,7661.0,24399825.34,2.68
10/21/2020,ARKF,APPLE INC,AAPL,204289.0,23875255.43,2.62
10/21/2020,ARKF,TWILIO INC - A,TWLO,78949.0,23582066.3,2.59
10/21/2020,ARKF,SNAP INC - A,SNAP,623394.0,22753881.0,2.5
10/21/2020,ARKF,FACEBOOK INC-CLASS A,FB,77970.0,21732578.1,2.3800000000000003
10/21/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,4140845.0,21398680.3,2.35
10/21/2020,ARKF,SPLUNK INC,SPLK,90253.0,19103852.51,2.09
10/21/2020,ARKF,INTUIT INC,INTU,47007.0,15643459.53,1.72
10/21/2020,ARKF,DOCUSIGN INC,DOCU,71637.0,15625462.44,1.71
10/21/2020,ARKF,WORKDAY INC-CLASS A,WDAY,59379.0,13319303.49,1.46
10/21/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,437214.0,12622368.18,1.38
10/21/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,355396.0,11915041.67,1.31
