date,fund,company,ticker,cusip,shares,market value($),weight(%)
6/8/2021,ARKK,TESLA INC,TSLA,88160R101,3454158.0,2090214630.54,9.9
6/8/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8503474.0,1292102874.3,6.12
6/8/2021,ARKK,ROKU INC,ROKU,77543R102,3465185.0,1181835996.1,5.6
6/8/2021,ARKK,SQUARE INC - A,SQ,852234103,4399226.0,954412080.7,4.52
6/8/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2767868.0,948437648.88,4.49
6/8/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,718108.0,883667799.4,4.19
6/8/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3125481.0,758429219.46,3.59
6/8/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,7629526.0,748456500.6,3.55
6/8/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,3134630.0,725510113.5,3.44
6/8/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2281798.0,717671106.96,3.4
6/8/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6296967.0,708849575.19,3.36
6/8/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,5646566.0,632754185.96,3.0
6/8/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,4850101.0,578132039.2,2.74
6/8/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,22183746.0,542614427.16,2.57
6/8/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2205932.0,531563434.04,2.52
6/8/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2661557.0,493133280.96,2.34
6/8/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,7948235.0,425310054.85,2.01
6/8/2021,ARKK,INVITAE CORP,NVTA,46185L103,13532001.0,395269749.21,1.87
6/8/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,4537588.0,387464639.32,1.84
6/8/2021,ARKK,TWITTER INC,TWTR,90184L102,6488505.0,386909553.15,1.83
6/8/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4717896.0,366391803.36,1.74
6/8/2021,ARKK,SEA LTD-ADR,SE,81141R100,1361887.0,350440762.84,1.66
6/8/2021,ARKK,SKILLZ INC,SKLZ,83067L109,15209013.0,335815007.04,1.59
6/8/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,8204871.0,312769682.52,1.48
6/8/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,3736089.0,293768678.07,1.39
6/8/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,3617961.0,267294958.68,1.27
6/8/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,3324219.0,255964863.0,1.21
