date,fund,company,ticker,cusip,shares,market value($),weight(%)
8/23/2021,ARKK,TESLA INC,TSLA,88160R101,3239247.0,2203530164.22,10.51
8/23/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8510604.0,1193016468.72,5.69
8/23/2021,ARKK,ROKU INC,ROKU,77543R102,3252217.0,1142178610.4,5.45
8/23/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4114374.0,1058710717.68,5.05
8/23/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,8224136.0,1010252866.24,4.82
8/23/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2797900.0,942500594.0,4.49
8/23/2021,ARKK,SQUARE INC - A,SQ,852234103,3361646.0,884280980.3,4.22
8/23/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,585491.0,849371793.7,4.05
8/23/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2202916.0,751040151.88,3.58
8/23/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3363892.0,728753562.88,3.47
8/23/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4218693.0,629935238.76,3.0
8/23/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6508195.0,624981965.85,2.98
8/23/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,25856137.0,620805849.37,2.96
8/23/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,6487513.0,604506461.34,2.88
8/23/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,4856944.0,569330975.68,2.71
8/23/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,8379732.0,509152516.32,2.43
8/23/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,4819828.0,491381464.6,2.34
8/23/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,9228259.0,479961750.59,2.29
8/23/2021,ARKK,TWITTER INC,TWTR,90184L102,7482332.0,467795396.64,2.23
8/23/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1331119.0,380700034.0,1.82
8/23/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,5068828.0,339662164.28,1.62
8/23/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2161562.0,336598434.64,1.6
8/23/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,8028651.0,321386899.53,1.53
8/23/2021,ARKK,INVITAE CORP,NVTA,46185L103,12042739.0,308655400.57,1.47
8/23/2021,ARKK,SEA LTD-ADR,SE,81141R100,917508.0,283812749.64,1.35
8/23/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,4228960.0,255344604.8,1.22
8/23/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,7244863.0,246325342.0,1.17
8/23/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,8324162.0,233076536.0,1.11
8/23/2021,ARKK,PAGERDUTY INC,PD,69553P100,5565652.0,215001136.76,1.03
8/23/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,4743138.0,202247404.32,0.96
8/23/2021,ARKK,TERADYNE INC,TER,880770102,1748614.0,198572605.84,0.95
8/23/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1744132.0,175267824.68,0.84
8/23/2021,ARKK,2U INC,TWOU,90214J101,4884255.0,172511886.6,0.82
8/23/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7484755.0,158452263.35,0.76
8/23/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,2484537.0,150016344.06,0.72
8/23/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,4254217.0,147536245.56,0.7
8/23/2021,ARKK,TRIMBLE INC,TRMB,896239100,1625030.0,147211467.7,0.7
8/23/2021,ARKK,SKILLZ INC,SKLZ,83067L109,13267993.0,139313926.5,0.66
8/23/2021,ARKK,VERACYTE INC,VCYT,92337F107,3373584.0,131670983.52,0.63
8/23/2021,ARKK,PROTO LABS INC,PRLB,743713109,1788224.0,125426031.36,0.6
8/23/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1646659.0,86927128.61,0.41
8/23/2021,ARKK,STRATASYS LTD,SSYS,M85548101,3925851.0,79773292.32,0.38
8/23/2021,ARKK,SOARING EAGLE ACQU - CL A,SRNG,G8354H126,8055588.0,80153100.6,0.38
8/23/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3496988.0,70814007.0,0.34
8/23/2021,ARKK,CERUS CORP,CERS,157085101,11558166.0,68077597.74,0.32
