date,fund,company,ticker,shares,market value($),weight(%)
11/24/2020,ARKF,SQUARE INC - A,SQ,638726.0,129597505.4,10.870000000000001
11/24/2020,ARKF,MERCADOLIBRE INC,MELI,37945.0,54613479.6,4.58
11/24/2020,ARKF,PINTEREST INC- CLASS A,PINS,853670.0,54660490.1,4.58
11/24/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,466595.0,48091946.65,4.03
11/24/2020,ARKF,ZILLOW GROUP INC - C,Z,442743.0,47373501.0,3.9699999999999998
11/24/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,597670.0,45297409.3,3.8
11/24/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,209548.0,43166888.0,3.62
11/24/2020,ARKF,SEA LTD-ADR,SE,238946.0,42274326.32,3.55
11/24/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,140835.0,39428166.6,3.3099999999999996
11/24/2020,ARKF,ADYEN NV,ADYEN,21154.0,39030123.68,3.27
11/24/2020,ARKF,MEITUAN-CLASS B,3690,953215.0,37309367.93,3.1300000000000003
11/24/2020,ARKF,LENDINGTREE INC,TREE UW,142000.0,37090400.0,3.11
11/24/2020,ARKF,TWILIO INC - A,TWLO,98365.0,28722580.0,2.41
11/24/2020,ARKF,SNAP INC - A,SNAP,629664.0,27887818.56,2.34
11/24/2020,ARKF,AMAZON.COM INC,AMZN,8642.0,26946274.52,2.26
11/24/2020,ARKF,FACEBOOK INC-CLASS A,FB,97142.0,26900562.64,2.26
11/24/2020,ARKF,APPLE INC,AAPL,225142.0,25929604.14,2.17
11/24/2020,ARKF,DOCUSIGN INC,DOCU,117122.0,25438898.4,2.13
11/24/2020,ARKF,Z HOLDINGS CORP,4689,4184107.0,25219604.3,2.12
11/24/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,5161145.0,24868415.45,2.09
11/24/2020,ARKF,SPLUNK INC,SPLK,112427.0,22315635.23,1.87
11/24/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,438596.0,20906729.83,1.7500000000000002
11/24/2020,ARKF,INTUIT INC,INTU,58562.0,20215602.4,1.7000000000000002
11/24/2020,ARKF,WORKDAY INC-CLASS A,WDAY,89174.0,19006546.36,1.59
11/24/2020,ARKF,PINDUODUO INC-ADR,PDD,120963.0,17411414.22,1.46
11/24/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,142797.0,17045677.89,1.43
11/24/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,544644.0,16110569.52,1.35
11/24/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,165770.0,16020012.8,1.34
11/24/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,318595.0,15862845.05,1.3299999999999998
11/24/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,412630.0,14739143.6,1.24
11/24/2020,ARKF,JD.COM INC-ADR,JD,156584.0,14064374.88,1.18
11/24/2020,ARKF,LENDINGCLUB CORP,LC,1879598.0,14115780.98,1.18
11/24/2020,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,246649.0,13015667.73,1.09
11/24/2020,ARKF,DISCOVERY LTD,DSY,1519087.0,12718843.29,1.0699999999999998
11/24/2020,ARKF,SBI HOLDINGS INC,8473,473462.0,12641668.83,1.06
11/24/2020,ARKF,HDFC BANK LTD-ADR,HDB,182275.0,12684517.25,1.06
11/24/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,668150.0,12527812.5,1.05
11/24/2020,ARKF,SHOPIFY INC - CLASS A,SHOP,12640.0,12276473.6,1.03
11/24/2020,ARKF,NVIDIA CORP,NVDA,22714.0,11772893.34,0.9900000000000001
11/24/2020,ARKF,TRANSUNION,TRU,125418.0,11666382.36,0.98
11/24/2020,ARKF,TCS GROUP HOLDING-GDR REG S,,376009.0,10960662.35,0.9199999999999999
11/24/2020,ARKF,YEAHKA LTD,9923,2130800.0,10885523.54,0.91
11/24/2020,ARKF,VERISK ANALYTICS INC,VRSK,50731.0,9866164.88,0.83
11/24/2020,ARKF,KE HOLDINGS INC,BEKE,148617.0,9523377.36,0.8
11/24/2020,ARKF,TELADOC HEALTH INC,TDOC,31513.0,5874653.46,0.49
11/24/2020,ARKF,MARKETAXESS HOLDINGS INC,MKTX,11028.0,5717576.88,0.48
11/24/2020,ARKF,MORGAN STANLEY GOVT INSTL 8035,,2340571.93,2340571.93,0.2
11/24/2020,ARKF,ZSCALER INC,ZS,676.0,95444.44,0.01
11/24/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,2925176.0,321740108.24,8.82
11/24/2020,ARKG,INVITAE CORP,NVTA,6206187.0,289518623.55,7.9399999999999995
11/24/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,17654378.0,254399586.98,6.98
11/24/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3627627.0,218165487.78,5.980000000000001
11/24/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,1919934.0,199999524.78,5.48
11/24/2020,ARKG,TELADOC HEALTH INC,TDOC,832048.0,155110388.16,4.25
11/24/2020,ARKG,CAREDX INC,CDNA,2522857.0,140371763.48,3.85
11/24/2020,ARKG,EXACT SCIENCES CORP,EXAS,1075846.0,126153701.96,3.46
11/24/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,3390218.0,125980500.88,3.45
11/24/2020,ARKG,PERSONALIS INC,PSNL,4557257.0,115207456.96,3.16
11/24/2020,ARKG,CELLECTIS - ADR,CLLS,5059711.0,114147080.16,3.1300000000000003
11/24/2020,ARKG,SERES THERAPEUTICS INC,MCRB,3567728.0,109457895.04,3.0
11/24/2020,ARKG,FATE THERAPEUTICS INC,FATE,1974970.0,109156591.9,2.9900000000000007
11/24/2020,ARKG,VERACYTE INC,VCYT,2038651.0,105765213.88,2.9
11/24/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,5139468.0,101555887.68,2.78
11/24/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2409636.0,83879429.16,2.3
11/24/2020,ARKG,INCYTE CORP,INCY,974566.0,78686458.84,2.16
11/24/2020,ARKG,ACCOLADE INC,ACCD,1406848.0,70806659.84,1.94
11/24/2020,ARKG,COMPUGEN LTD,CGEN,5745076.0,70089927.2,1.92
11/24/2020,ARKG,BERKELEY LIGHTS INC,BLI,789300.0,65109357.0,1.79
11/24/2020,ARKG,EDITAS MEDICINE INC,EDIT,2026424.0,58806824.48,1.6099999999999999
11/24/2020,ARKG,IONIS PHARMACEUTICALS INC,IONS,1092896.0,54688515.84,1.5
11/24/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,242120.0,52418980.0,1.44
11/24/2020,ARKG,CERUS CORP,CERS,8188288.0,48065250.56,1.32
11/24/2020,ARKG,SCHRODINGER INC,SDGR,709277.0,46939951.86,1.29
11/24/2020,ARKG,10X GENOMICS INC-CLASS A,TXG,316864.0,43141033.6,1.18
11/24/2020,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,918214.0,41328812.14,1.13
11/24/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,2269598.0,39967620.78,1.1
11/24/2020,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,414673.0,36615625.9,1.0
11/24/2020,ARKG,GUARDANT HEALTH INC,GH,320944.0,36266672.0,0.9900000000000001
11/24/2020,ARKG,CODEXIS INC,CDXS,1937087.0,34673857.3,0.95
11/24/2020,ARKG,REGENERON PHARMACEUTICALS,REGN,67717.0,34271573.7,0.9400000000000001
11/24/2020,ARKG,CASTLE BIOSCIENCES INC,CSTL,751389.0,33752393.88,0.9299999999999999
11/24/2020,ARKG,PHREESIA INC,PHR,782115.0,33005253.0,0.9000000000000001
11/24/2020,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,605822.0,28643264.16,0.79
11/24/2020,ARKG,SYROS PHARMACEUTICALS INC,SYRS,3427116.0,26937131.76,0.74
11/24/2020,ARKG,BEAM THERAPEUTICS INC,BEAM,589360.0,24493801.6,0.67
11/24/2020,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,5299048.0,21090211.04,0.58
11/24/2020,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,2263192.0,20685574.88,0.57
11/24/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,19066245.74,19066245.74,0.52
11/24/2020,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,38980.0,17134048.8,0.4699999999999999
11/24/2020,ARKG,EVOGENE LTD,EVGN,4602387.0,13484993.91,0.37
11/24/2020,ARKG,REPARE THERAPEUTICS INC,RPTX,357625.0,10735902.5,0.29
11/24/2020,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,464786.0,7552772.5,0.21
11/24/2020,ARKG,SURFACE ONCOLOGY INC,SURF,623355.0,4831001.25,0.13
11/24/2020,ARKG,ORGANOVO HOLDINGS INC,ONVO ,375748.0,3167555.64,0.09
11/24/2020,ARKK,TESLA INC,TSLA,2412319.0,1339753726.22,10.97
11/24/2020,ARKK,INVITAE CORP,NVTA,17598486.0,820969371.9,6.72
11/24/2020,ARKK,ROKU INC,ROKU,3000603.0,819194625.03,6.709999999999999
11/24/2020,ARKK,SQUARE INC - A,SQ,3486146.0,707339023.4,5.79
