date,fund,company,ticker,shares,market value($),weight(%)
10/23/2020,ARKF,SQUARE INC - A,SQ,583178.0,103088375.06,11.23
10/23/2020,ARKF,MERCADOLIBRE INC,MELI,35343.0,46375670.88,5.050000000000001
10/23/2020,ARKF,PINTEREST INC- CLASS A,PINS,861826.0,45676778.0,4.9799999999999995
10/23/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,376350.0,37239832.5,4.06
10/23/2020,ARKF,LENDINGTREE INC,TREE UW,106620.0,36774304.2,4.01
10/23/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,482069.0,35205499.07,3.84
10/23/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,104400.0,32355648.0,3.53
10/23/2020,ARKF,ADYEN NV,ADYEN,17074.0,31769679.46,3.46
10/23/2020,ARKF,SEA LTD-ADR,SE,192701.0,31402554.96,3.42
10/23/2020,ARKF,ZILLOW GROUP INC - C,Z,321382.0,30904093.12,3.37
10/23/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,145396.0,29521203.84,3.2199999999999998
10/23/2020,ARKF,SNAP INC - A,SNAP,626336.0,27038925.12,2.9499999999999997
10/23/2020,ARKF,Z HOLDINGS CORP,4689,3800012.0,26203224.91,2.86
10/23/2020,ARKF,MEITUAN DIANPING-CLASS B,3690,769615.0,26057506.21,2.8400000000000003
10/23/2020,ARKF,AMAZON.COM INC,AMZN,7697.0,24664266.8,2.69
10/23/2020,ARKF,TWILIO INC - A,TWLO,79321.0,24280158.1,2.65
10/23/2020,ARKF,APPLE INC,AAPL,205253.0,23612305.12,2.5700000000000003
10/23/2020,ARKF,FACEBOOK INC-CLASS A,FB,78338.0,22309879.02,2.4299999999999997
10/23/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,4160445.0,21419443.16,2.33
10/23/2020,ARKF,SPLUNK INC,SPLK,90679.0,19632910.29,2.1399999999999997
10/23/2020,ARKF,DOCUSIGN INC,DOCU,71975.0,15821544.5,1.72
10/23/2020,ARKF,INTUIT INC,INTU,47229.0,15794322.18,1.72
10/23/2020,ARKF,WORKDAY INC-CLASS A,WDAY,59659.0,13371968.26,1.46
10/23/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,439278.0,12633635.28,1.38
10/23/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,356996.0,12234582.97,1.3299999999999998
10/23/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,133698.0,11806870.38,1.29
10/23/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,115133.0,11713631.42,1.28
10/23/2020,ARKF,SBI HOLDINGS INC,8473,450874.0,11256240.26,1.23
10/23/2020,ARKF,PINDUODUO INC-ADR,PDD,124705.0,10838111.55,1.18
10/23/2020,ARKF,YEAHKA LTD,9923,1722800.0,10570143.42,1.15
10/23/2020,ARKF,HDFC BANK LTD-ADR,HDB,173457.0,10469864.52,1.1400000000000001
10/23/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,256948.0,10367851.8,1.13
10/23/2020,ARKF,NVIDIA CORP,NVDA,18308.0,9952411.88,1.08
10/23/2020,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,198909.0,9828093.69,1.0699999999999998
10/23/2020,ARKF,LENDINGCLUB CORP,LC,1879598.0,9679929.7,1.05
10/23/2020,ARKF,DISCOVERY LTD,DSY,1225229.0,9495453.83,1.03
10/23/2020,ARKF,TRANSUNION,TRU,101123.0,8701634.15,0.95
10/23/2020,ARKF,JD.COM INC-ADR,JD,104696.0,8515972.64,0.9299999999999999
10/23/2020,ARKF,VERISK ANALYTICS INC,VRSK,40914.0,7742974.5,0.84
10/23/2020,ARKF,TCS GROUP HOLDING-GDR REG S,,303247.0,7247603.3,0.79
10/23/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,267401.0,5532526.69,0.6
10/23/2020,ARKF,MARKETAXESS HOLDINGS INC,MKTX,8886.0,4966474.26,0.54
10/23/2020,ARKF,ZSCALER INC,ZS,31674.0,4657661.7,0.51
10/23/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,210216.0,4086599.04,0.45000000000000007
10/23/2020,ARKF,MORGAN STANLEY GOVT INSTL 8035,,2628824.33,2628824.33,0.29
10/23/2020,ARKF,HONG KONG DOLLAR,,4424596.49,570911.99,0.06
10/23/2020,ARKF,HONG KONG DOLLAR,,2456676.87,316988.52,0.03
10/23/2020,ARKF,JAPANESE YEN,,12858026.0,122802.41,0.01
10/23/2020,ARKG,INVITAE CORP,NVTA,6276325.0,284066469.5,9.68
10/23/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,2570850.0,238189252.5,8.12
10/23/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,15259271.0,212103866.9,7.23
10/23/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,2930709.0,144689103.33,4.93
10/23/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,1657556.0,142500089.32,4.859999999999999
10/23/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,3021004.0,113740800.6,3.88
10/23/2020,ARKG,CAREDX INC,CDNA,2183174.0,109551671.32,3.73
10/23/2020,ARKG,PERSONALIS INC,PSNL,3866879.0,101582911.33,3.46
10/23/2020,ARKG,SERES THERAPEUTICS INC,MCRB,3337066.0,100629225.23,3.4300000000000006
10/23/2020,ARKG,COMPUGEN LTD,CGEN,6155412.0,87160633.92,2.97
