No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-09-15,ARKK,TESLA INC,TSLA,2988491.0,2224901664.59,10.61,Sell,73781.0,
2,2021-09-15,ARKK,TELADOC HEALTH INC,TDOC,8425984.0,1126722580.48,5.37,Sell,9400.0,
3,2021-09-15,ARKK,ROKU INC,ROKU,3321711.0,1052185176.36,5.02,Sell,3708.0,
4,2021-09-15,ARKK,UNITY SOFTWARE INC,U,8003887.0,1054352034.51,5.03,Sell,8932.0,
5,2021-09-15,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,4073478.0,989855154.0,4.72,Sell,4544.0,
6,2021-09-15,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,3110229.0,875342849.76,4.17,Buy,182885.0,
7,2021-09-15,ARKK,SHOPIFY INC - CLASS A,SHOP,551991.0,801093498.48,3.82,Sell,616.0,
8,2021-09-15,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3330448.0,811996526.88,3.87,Sell,3716.0,
9,2021-09-15,ARKK,SQUARE INC - A,SQ,3162465.0,781286978.25,3.73,Sell,3528.0,
10,2021-09-15,ARKK,TWILIO INC - A,TWLO,2181028.0,735006436.0,3.5,Sell,2432.0,
11,2021-09-15,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,25599058.0,672231263.08,3.21,Sell,28564.0,
12,2021-09-15,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4176753.0,643094659.41,3.07,Sell,4660.0,
13,2021-09-15,ARKK,EXACT SCIENCES CORP,EXAS,6423001.0,623416477.06,2.97,Sell,7168.0,
14,2021-09-15,ARKK,ZILLOW GROUP INC - C,Z,6443500.0,592157650.0,2.82,Sell,7188.0,
15,2021-09-15,ARKK,DRAFTKINGS INC - CL A,DKNG,9862970.0,582408378.5,2.78,Sell,11004.0,
16,2021-09-15,ARKK,CRISPR THERAPEUTICS AG,CRSP,4877019.0,567197309.7,2.7,Buy,9076.0,
17,2021-09-15,ARKK,UIPATH INC - CLASS A,PATH,9678562.0,540934830.18,2.58,Sell,10800.0,
18,2021-09-15,ARKK,BEAM THERAPEUTICS INC,BEAM,4771912.0,476618570.56,2.27,Sell,5324.0,
19,2021-09-15,ARKK,TWITTER INC,TWTR,7407925.0,445883005.75,2.13,Sell,8268.0,
20,2021-09-15,ARKK,INVITAE CORP,NVTA,13773903.0,410049092.31,1.96,Buy,227019.0,
