No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-06-21,ARKK,TESLA INC,TSLA,3509418.0,2187455333.58,9.67,Buy,23946.0,
2,2021-06-21,ARKK,TELADOC HEALTH INC,TDOC,8639494.0,1350439307.14,5.97,Buy,58942.0,
3,2021-06-21,ARKK,ROKU INC,ROKU,3520625.0,1297103868.75,5.74,Buy,24024.0,
4,2021-06-21,ARKK,SHOPIFY INC - CLASS A,SHOP,729568.0,1070181412.16,4.73,Buy,4966.0,
5,2021-06-21,ARKK,SQUARE INC - A,SQ,4469606.0,1059520102.3,4.69,Buy,30498.0,
6,2021-06-21,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,2812148.0,1052418267.52,4.65,Buy,19188.0,
7,2021-06-21,ARKK,TWILIO INC - A,TWLO,2318379.0,852259304.19,3.77,Buy,15843.0,
8,2021-06-21,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3334934.0,825863055.76,3.65,Buy,22750.0,
9,2021-06-21,ARKK,UNITY SOFTWARE INC,U,7751601.0,814073137.02,3.6,Buy,52919.0,
10,2021-06-21,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,3383316.0,775760525.64,3.43,Buy,23088.0,
11,2021-06-21,ARKK,EXACT SCIENCES CORP,EXAS,5737012.0,725846758.24,3.21,Buy,39156.0,
12,2021-06-21,ARKK,ZILLOW GROUP INC - C,Z,6397707.0,741878103.72,3.28,Buy,43654.0,
13,2021-06-21,ARKK,CRISPR THERAPEUTICS AG,CRSP,4953094.0,633154006.02,2.8,Buy,33800.0,
14,2021-06-21,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,22538686.0,571806463.82,2.53,Buy,153790.0,
15,2021-06-21,ARKK,DOCUSIGN INC,DOCU,2127231.0,583776003.33,2.58,Buy,14508.0,
16,2021-06-21,ARKK,10X GENOMICS INC-CLASS A,TXG,2704157.0,525769245.51,2.33,Buy,18460.0,
