No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-04-28,ARKK,TESLA INC,TSLA,3377429.0,2380209313.46,9.67,Hold,0.0,-4.532646979138451
2,2021-04-28,ARKK,TELADOC HEALTH INC,TDOC,7995970.0,1518834501.5,6.17,Hold,0.0,-0.05787646006524569
3,2021-04-28,ARKK,ROKU INC,ROKU,3588076.0,1294039609.4,5.26,Hold,0.0,-2.1647722648726377
4,2021-04-28,ARKK,SQUARE INC - A,SQ,5153836.0,1307992038.44,5.32,Hold,0.0,-0.7741330101262831
5,2021-04-28,ARKK,ZILLOW GROUP INC - C,Z,6525134.0,906928374.66,3.69,Hold,0.0,-1.5581840073659685
6,2021-04-28,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,2501335.0,834170209.15,3.39,Hold,0.0,-0.8709351405980704
7,2021-04-28,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,2687181.0,787129058.52,3.2,Hold,0.0,-1.711294543990339
8,2021-04-28,ARKK,SHOPIFY INC - CLASS A,SHOP,682632.0,789730134.48,3.21,Hold,0.0,-0.7813036020583166
9,2021-04-28,ARKK,BAIDU INC - SPON ADR,BIDU,3490537.0,755352206.8,3.07,Hold,0.0,-0.027718747112634296
10,2021-04-28,ARKK,EXACT SCIENCES CORP,EXAS,5404528.0,748040720.48,3.04,Hold,0.0,-0.6175055647303698
11,2021-04-28,ARKK,TWILIO INC - A,TWLO,1783254.0,705972426.06,2.87,Hold,0.0,-1.195467704901679
12,2021-04-28,ARKK,CRISPR THERAPEUTICS AG,CRSP,5045548.0,671259705.92,2.73,Hold,0.0,-1.9746536987916279
13,2021-04-28,ARKK,UNITY SOFTWARE INC,U,6232667.0,648259694.67,2.63,Hold,0.0,-0.5830625119480031
14,2021-04-28,ARKK,DOCUSIGN INC,DOCU,2405765.0,553374065.3,2.25,Hold,0.0,-1.851851851851856
15,2021-04-28,ARKK,INVITAE CORP,NVTA,14509074.0,540027734.28,2.19,Hold,0.0,-1.7682765901293296
16,2021-04-28,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,1749240.0,528270480.0,2.15,Hold,0.0,-0.8340447888618945
17,2021-04-28,ARKK,10X GENOMICS INC-CLASS A,TXG,2337387.0,464438796.9,1.89,Hold,0.0,-1.8135099075950039
18,2021-04-28,ARKK,INTELLIA THERAPEUTICS INC,NTLA,5366508.0,467235019.02,1.9,Hold,0.0,2.68309942210166
19,2021-04-28,ARKK,SEA LTD-ADR,SE,1586813.0,423901224.82,1.72,Hold,0.0,-1.7903753538472855
20,2021-04-28,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,11534034.0,379354378.26,1.54,Hold,0.0,-0.544299969761114
21,2021-04-28,ARKK,TWIST BIOSCIENCE CORP,TWST,2622737.0,366055403.09,1.49,Hold,0.0,-0.6760603472815354
22,2021-04-28,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,15178208.0,362455607.04,1.47,Hold,0.0,-0.9539610120281969
23,2021-04-28,ARKK,KE HOLDINGS INC-ADR,BEKE,6376691.0,357094696.0,1.45,Hold,0.0,-0.5858334812710733
24,2021-04-28,ARKK,PURE STORAGE INC - CLASS A,PSTG,16367682.0,345358090.2,1.4,Hold,0.0,-1.2172284644194737
25,2021-04-28,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,4868386.0,341468594.04,1.39,Hold,0.0,-1.3640838138095785
26,2021-04-28,ARKK,BEAM THERAPEUTICS INC,BEAM,3945530.0,321797426.8,1.31,Hold,0.0,-0.3664793549963352
27,2021-04-28,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,8071941.0,308428865.61,1.25,Hold,0.0,-0.9076763485477064
28,2021-04-28,ARKK,PROTO LABS INC,PRLB,2584401.0,298369095.45,1.21,Hold,0.0,-0.043290043290047285
