No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-03-08,ARKK,TESLA INC,TSLA,3572503.0,2011319189.0,9.99,Buy,5875.0,
2,2021-03-08,ARKK,SQUARE INC - A,SQ,6206854.0,1252977616.98,6.23,Buy,10182.0,
3,2021-03-08,ARKK,ROKU INC,ROKU,3607730.0,1180413178.7,5.86,Buy,5916.0,
4,2021-03-08,ARKK,TELADOC HEALTH INC,TDOC,6422130.0,1134469264.5,5.64,Buy,10530.0,
5,2021-03-08,ARKK,BAIDU INC - SPON ADR,BIDU,2956887.0,688008467.16,3.42,Buy,4848.0,
6,2021-03-08,ARKK,ZILLOW GROUP INC - C,Z,5391580.0,672114362.8,3.34,Buy,8844.0,
7,2021-03-08,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,2583741.0,667457812.53,3.32,Buy,4236.0,
8,2021-03-08,ARKK,SHOPIFY INC - CLASS A,SHOP,612951.0,657347040.93,3.27,Buy,1008.0,
9,2021-03-08,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,1937984.0,602577365.12,2.99,Buy,3180.0,
10,2021-03-08,ARKK,CRISPR THERAPEUTICS AG,CRSP,5671565.0,644403215.3,3.2,Sell,20254.0,
11,2021-03-08,ARKK,INVITAE CORP,NVTA,16309343.0,566912762.68,2.82,Sell,58266.0,
12,2021-03-08,ARKK,EXACT SCIENCES CORP,EXAS,4595762.0,535727976.34,2.66,Buy,7536.0,
13,2021-03-08,ARKK,TWILIO INC - A,TWLO,1380410.0,442545641.9,2.2,Buy,2262.0,
14,2021-03-08,ARKK,UNITY SOFTWARE INC,U,4834871.0,448434285.25,2.23,Buy,7932.0,
15,2021-03-08,ARKK,DOCUSIGN INC,DOCU,2095362.0,404069608.08,2.01,Buy,3438.0,
16,2021-03-08,ARKK,PURE STORAGE INC - CLASS A,PSTG,19919001.0,385831049.37,1.92,Sell,71149.0,
17,2021-03-08,ARKK,PROTO LABS INC,PRLB,2905141.0,355211590.07,1.76,Sell,10374.0,
18,2021-03-08,ARKK,PAYPAL HOLDINGS INC,PYPL,1397459.0,315951505.31,1.57,Sell,179627.0,
19,2021-03-08,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,11114432.0,350882618.24,1.74,Buy,18228.0,
20,2021-03-08,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,4058974.0,333647662.8,1.66,Buy,6641.0,
21,2021-03-08,ARKK,TWIST BIOSCIENCE CORP,TWST,2948191.0,310975186.68,1.55,Sell,10530.0,
22,2021-03-08,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,4567362.0,313275359.58,1.56,Buy,7507.0,
23,2021-03-08,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6032444.0,281051565.96,1.4,Sell,21554.0,
24,2021-03-08,ARKK,KE HOLDINGS INC,BEKE,5982395.0,281651156.6,1.4,Buy,9810.0,
25,2021-03-08,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2617502.0,297714677.48,1.48,Sell,94165.0,
26,2021-03-08,ARKK,10X GENOMICS INC-CLASS A,TXG,1943347.0,274186828.23,1.36,Buy,3186.0,
27,2021-03-08,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,7264825.0,271123269.0,1.35,Buy,11916.0,
28,2021-03-08,ARKK,2U INC,TWOU,7525866.0,257459875.86,1.28,Sell,26884.0,
29,2021-03-08,ARKK,PAGERDUTY INC,PD,7056199.0,240475261.92,1.19,Sell,25207.0,
30,2021-03-08,ARKK,LENDINGTREE INC,TREE UW,1094201.0,245659066.51,1.22,Sell,3913.0,
31,2021-03-08,ARKK,EDITAS MEDICINE INC,EDIT,6218242.0,252087530.68,1.25,Sell,22217.0,
32,2021-03-08,ARKK,SEA LTD-ADR,SE,1134281.0,233718600.05,1.16,Buy,1860.0,
33,2021-03-08,ARKK,PACCAR INC,PCAR,2635695.0,246279340.8,1.22,Buy,4320.0,
34,2021-03-08,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,10268430.0,231245043.6,1.15,Buy,16842.0,
35,2021-03-08,ARKK,TWITTER INC,TWTR,3529462.0,224050247.76,1.11,Buy,5790.0,
36,2021-03-08,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,2645992.0,221548910.16,1.1,Buy,4338.0,
