No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2020-11-10,ARKF,ADYEN NV,ADYEN,19514.0,35667680.54,3.49,Buy,440.0,
2,2020-11-10,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,129866.0,34614483.64,3.39,Buy,2937.0,
3,2020-11-10,ARKF,AMAZON.COM INC,AMZN,8795.0,26693000.9,2.6100000000000003,Buy,198.0,
4,2020-11-10,ARKF,APPLE INC,AAPL,207602.0,24075603.94,2.35,Buy,4697.0,
5,2020-11-10,ARKF,DISCOVERY LTD,DSY,1400836.0,11444136.81,1.12,Buy,31647.0,
6,2020-11-10,ARKF,DOCUSIGN INC,DOCU,103092.0,20444174.52,2.0,Buy,2332.0,
7,2020-11-10,ARKF,FACEBOOK INC-CLASS A,FB,89562.0,24399375.66,2.39,Buy,2024.0,
8,2020-11-10,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,131664.0,14317143.36,1.4000000000000001,Buy,2981.0,
9,2020-11-10,ARKF,HDFC BANK LTD-ADR,HDB,198334.0,13351844.88,1.31,Buy,4477.0,
10,2020-11-10,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,227440.0,11590342.4,1.13,Buy,5137.0,
11,2020-11-10,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,430274.0,42166852.0,4.12,Buy,9724.0,
12,2020-11-10,ARKF,INTUIT INC,INTU,54000.0,18482040.0,1.81,Buy,1221.0,
13,2020-11-10,ARKF,JD.COM INC-ADR,JD,119702.0,9585736.16,0.9400000000000001,Buy,2706.0,
14,2020-11-10,ARKF,LENDINGCLUB CORP,LC,1879598.0,10262605.08,1.0,Hold,0.0,-3.0195381882770884
15,2020-11-10,ARKF,LENDINGTREE INC,TREE UW,130949.0,40150272.89,3.93,Buy,2959.0,
16,2020-11-10,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,405796.0,15797380.9,1.55,Buy,8800.0,
17,2020-11-10,ARKF,MARKETAXESS HOLDINGS INC,MKTX,10167.0,5338081.68,0.52,Buy,231.0,
18,2020-11-10,ARKF,MEITUAN-CLASS B,3690,879415.0,34025407.06,3.3300000000000005,Buy,19800.0,
19,2020-11-10,ARKF,MERCADOLIBRE INC,MELI,35820.0,43916394.6,4.3,Buy,814.0,
20,2020-11-10,ARKF,MORGAN STANLEY GOVT INSTL 8035,,2536747.96,2536747.96,0.25,Sell,778756.2000000002,
21,2020-11-10,ARKF,NVIDIA CORP,NVDA,20931.0,10691554.8,1.05,Buy,473.0,
22,2020-11-10,ARKF,PAYPAL HOLDINGS INC,PYPL,193238.0,35432119.68,3.47,Buy,4367.0,
23,2020-11-10,ARKF,PINDUODUO INC-ADR,PDD,111538.0,11498452.42,1.12,Buy,2519.0,
24,2020-11-10,ARKF,PINTEREST INC- CLASS A,PINS,828016.0,46095650.72,4.51,Buy,18711.0,
25,2020-11-10,ARKF,SBI HOLDINGS INC,8473,517974.0,13282015.29,1.3,Buy,12100.0,
26,2020-11-10,ARKF,SCHWAB (CHARLES) CORP,SCHW,293781.0,13637314.02,1.3299999999999998,Buy,6633.0,
27,2020-11-10,ARKF,SEA LTD-ADR,SE,220334.0,34488881.02,3.37,Buy,4983.0,
28,2020-11-10,ARKF,SHOPIFY INC - CLASS A,SHOP,8830.0,7821260.8,0.77,Buy,198.0,
29,2020-11-10,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,305715.0,7942475.7,0.7799999999999999,Buy,6908.0,
