No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-01-21,ARKK,TESLA INC,TSLA,2576672.0,2177262073.28,9.12,Buy,17314.0,
2,2021-01-21,ARKK,ROKU INC,ROKU,4252210.0,1801406244.4,7.54,Buy,28556.0,
3,2021-01-21,ARKK,CRISPR THERAPEUTICS AG,CRSP,6070635.0,1123674538.5,4.71,Hold,0.0,-2.460873689202723
4,2021-01-21,ARKK,SQUARE INC - A,SQ,4940650.0,1085065553.0,4.54,Buy,33198.0,
5,2021-01-21,ARKK,TELADOC HEALTH INC,TDOC,4474063.0,1098382466.5,4.6,Buy,30052.0,
6,2021-01-21,ARKK,INVITAE CORP,NVTA,17456809.0,927480262.17,3.88,Hold,0.0,-6.674863867907962
7,2021-01-21,ARKK,ZILLOW GROUP INC - C,Z,4851052.0,707865507.84,2.96,Buy,32582.0,
8,2021-01-21,ARKK,BAIDU INC - SPON ADR,BIDU,2703967.0,681156326.97,2.85,Buy,18172.0,
9,2021-01-21,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,1964700.0,684305010.0,2.87,Buy,13200.0,
10,2021-01-21,ARKK,PROTO LABS INC,PRLB,3157475.0,600267572.25,2.51,Hold,0.0,-0.7051081165778753
11,2021-01-21,ARKK,TWIST BIOSCIENCE CORP,TWST,2874603.0,559196521.59,2.34,Buy,19316.0,
12,2021-01-21,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6456860.0,468703467.4,1.96,Hold,0.0,-9.893247269116195
13,2021-01-21,ARKK,TWILIO INC - A,TWLO,1318873.0,513041597.0,2.15,Buy,8866.0,
14,2021-01-21,ARKK,PURE STORAGE INC - CLASS A,PSTG,22255488.0,516549876.48,2.16,Hold,0.0,1.4866637516397059
15,2021-01-21,ARKK,EXACT SCIENCES CORP,EXAS,3354066.0,496636552.62,2.08,Buy,22528.0,
16,2021-01-21,ARKK,SHOPIFY INC - CLASS A,SHOP,446091.0,534483931.65,2.24,Buy,42340.0,
17,2021-01-21,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,9947891.0,474017006.15,1.99,Buy,66836.0,
18,2021-01-21,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,1263661.0,483742067.41,2.03,Buy,8492.0,
19,2021-01-21,ARKK,EDITAS MEDICINE INC,EDIT,6655763.0,424571121.77,1.78,Hold,0.0,-11.10646599777035
20,2021-01-21,ARKK,DOCUSIGN INC,DOCU,1875304.0,476214697.76,1.99,Buy,12606.0,
21,2021-01-21,ARKK,PAYPAL HOLDINGS INC,PYPL,2058794.0,511898540.16,2.14,Buy,123271.0,
