No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-09-14,ARKK,TESLA INC,TSLA,3062272.0,2275268096.0,10.71,Sell,3412.0,
2,2021-09-14,ARKK,TELADOC HEALTH INC,TDOC,8435384.0,1174964637.36,5.53,Sell,9400.0,
3,2021-09-14,ARKK,ROKU INC,ROKU,3325419.0,1073511761.58,5.06,Sell,3708.0,
4,2021-09-14,ARKK,UNITY SOFTWARE INC,U,8012819.0,1051041468.23,4.95,Sell,8932.0,
5,2021-09-14,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,4078022.0,990306862.48,4.66,Sell,4544.0,
6,2021-09-14,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,2927344.0,849632322.56,4.0,Sell,3264.0,
7,2021-09-14,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3334164.0,814269532.08,3.83,Sell,3716.0,
8,2021-09-14,ARKK,SHOPIFY INC - CLASS A,SHOP,552607.0,816128700.09,3.84,Sell,616.0,
9,2021-09-14,ARKK,SQUARE INC - A,SQ,3165993.0,780987153.24,3.68,Sell,3528.0,
10,2021-09-14,ARKK,TWILIO INC - A,TWLO,2183460.0,733664394.6,3.45,Sell,2432.0,
11,2021-09-14,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,25627622.0,661961476.26,3.12,Sell,28564.0,
12,2021-09-14,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4181413.0,645275654.16,3.04,Sell,4660.0,
13,2021-09-14,ARKK,EXACT SCIENCES CORP,EXAS,6430169.0,640959245.92,3.02,Sell,7168.0,
14,2021-09-14,ARKK,DRAFTKINGS INC - CL A,DKNG,9873974.0,596980468.04,2.81,Sell,11004.0,
15,2021-09-14,ARKK,ZILLOW GROUP INC - C,Z,6450688.0,609525509.12,2.87,Sell,7188.0,
16,2021-09-14,ARKK,CRISPR THERAPEUTICS AG,CRSP,4867943.0,574417274.0,2.7,Sell,5424.0,
17,2021-09-14,ARKK,UIPATH INC - CLASS A,PATH,9689362.0,538147165.48,2.53,Sell,10800.0,
18,2021-09-14,ARKK,BEAM THERAPEUTICS INC,BEAM,4777236.0,483599600.28,2.28,Sell,5324.0,
19,2021-09-14,ARKK,TWITTER INC,TWTR,7416193.0,442450074.38,2.08,Sell,8268.0,
20,2021-09-14,ARKK,FATE THERAPEUTICS INC,FATE,6212612.0,408665617.36,1.92,Sell,6924.0,
21,2021-09-14,ARKK,INVITAE CORP,NVTA,13546884.0,406948395.36,1.92,Buy,466418.0,
22,2021-09-14,ARKK,10X GENOMICS INC-CLASS A,TXG,2142458.0,362075402.0,1.71,Sell,2388.0,
23,2021-09-14,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,7957754.0,373855282.92,1.76,Sell,8868.0,
24,2021-09-14,ARKK,DOCUSIGN INC,DOCU,1282867.0,347939187.74,1.64,Sell,1428.0,
25,2021-09-14,ARKK,SEA LTD-ADR,SE,883216.0,285331760.96,1.34,Sell,984.0,
26,2021-09-14,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,7180831.0,297573636.64,1.4,Sell,8004.0,
27,2021-09-14,ARKK,EDITAS MEDICINE INC,EDIT,4107196.0,258589060.16,1.22,Sell,89060.0,
28,2021-09-14,ARKK,PAGERDUTY INC,PD,5907817.0,262011683.95,1.23,Buy,131145.0,
29,2021-09-14,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,8250594.0,234894411.18,1.11,Sell,9196.0,
30,2021-09-14,ARKK,TERADYNE INC,TER,1649708.0,201792282.56,0.95,Sell,85382.0,
31,2021-09-14,ARKK,TWIST BIOSCIENCE CORP,TWST,1679218.0,194671742.74,0.92,Sell,6097.0,
32,2021-09-14,ARKK,ROBINHOOD MARKETS INC - A,HOOD,4701218.0,190869450.8,0.9,Sell,5240.0,
33,2021-09-14,ARKK,VERACYTE INC,VCYT,3647606.0,175960513.44,0.83,Buy,71835.0,
34,2021-09-14,ARKK,2U INC,TWOU,4702403.0,160304918.27,0.75,Sell,17082.0,
35,2021-09-14,ARKK,TRIMBLE INC,TRMB,1546967.0,142027040.27,0.67,Sell,65491.0,
