No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-02-09,ARKK,TESLA INC,TSLA,2929530.0,2488518553.8,9.13,Buy,33989.0,
2,2021-02-09,ARKK,ROKU INC,ROKU,3998972.0,1868719615.6,6.86,Buy,46371.0,
3,2021-02-09,ARKK,TELADOC HEALTH INC,TDOC,4830589.0,1393624926.5,5.12,Buy,56006.0,
4,2021-02-09,ARKK,SQUARE INC - A,SQ,5121723.0,1322019140.76,4.85,Buy,59409.0,
5,2021-02-09,ARKK,CRISPR THERAPEUTICS AG,CRSP,6021490.0,1008900649.5,3.7,Hold,0.0,-0.9927317851444826
6,2021-02-09,ARKK,INVITAE CORP,NVTA,17315474.0,910793932.4,3.34,Hold,0.0,3.522928557370587
7,2021-02-09,ARKK,ZILLOW GROUP INC - C,Z,5045416.0,851262587.52,3.12,Buy,58507.0,
8,2021-02-09,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,2522257.0,842433838.0,3.09,Buy,29233.0,
9,2021-02-09,ARKK,BAIDU INC - SPON ADR,BIDU,2919505.0,861370755.2,3.16,Buy,33866.0,
10,2021-02-09,ARKK,PROTO LABS INC,PRLB,3084347.0,675163558.3,2.48,Hold,0.0,-3.3852672463256406
11,2021-02-09,ARKK,SHOPIFY INC - CLASS A,SHOP,481587.0,690109355.13,2.53,Buy,5576.0,
12,2021-02-09,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,6338783.0,619869589.57,2.28,Buy,73513.0,
13,2021-02-09,ARKK,PAYPAL HOLDINGS INC,PYPL,2108394.0,599205574.8,2.2,Buy,24436.0,
14,2021-02-09,ARKK,PURE STORAGE INC - CLASS A,PSTG,21147866.0,588968068.1,2.16,Hold,0.0,0.8692502716407157
15,2021-02-09,ARKK,TWILIO INC - A,TWLO,1424056.0,578978447.92,2.13,Buy,16523.0,
16,2021-02-09,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,10740824.0,543056061.44,1.99,Buy,124599.0,
17,2021-02-09,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,1364407.0,586735942.21,2.15,Buy,15826.0,
18,2021-02-09,ARKK,TWIST BIOSCIENCE CORP,TWST,3103761.0,557000949.06,2.04,Buy,35998.0,
19,2021-02-09,ARKK,EXACT SCIENCES CORP,EXAS,3621377.0,549688814.83,2.02,Buy,41984.0,
20,2021-02-09,ARKK,DOCUSIGN INC,DOCU,2024871.0,518002499.22,1.9,Buy,23493.0,
21,2021-02-09,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6404582.0,469135631.5,1.72,Hold,0.0,-0.9063852813852808
22,2021-02-09,ARKK,EDITAS MEDICINE INC,EDIT,6601876.0,440543185.48,1.62,Hold,0.0,-4.329749103942648
23,2021-02-09,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,3499253.0,464280888.04,1.7,Buy,40590.0,
24,2021-02-09,ARKK,MATERIALISE NV-ADR,MTLS,5844432.0,471178107.84,1.73,Sell,42572.0,
25,2021-02-09,ARKK,UNITY SOFTWARE INC,U,3548690.0,454232320.0,1.67,Buy,41164.0,
26,2021-02-09,ARKK,LENDINGTREE INC,TREE UW,1214328.0,423181164.72,1.55,Hold,0.0,-0.5450913242009038
27,2021-02-09,ARKK,PAGERDUTY INC,PD,7491490.0,415253290.7,1.52,Hold,0.0,-1.176680335175619
28,2021-02-09,ARKK,STRATASYS LTD,SSYS,6958260.0,368787780.0,1.35,Sell,34471.0,
29,2021-02-09,ARKK,VERACYTE INC,VCYT,4802280.0,390809546.4,1.43,Hold,0.0,5.3190112592209005
30,2021-02-09,ARKK,2U INC,TWOU,7990138.0,374258063.92,1.37,Hold,0.0,0.7962126102862067
31,2021-02-09,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,3230559.0,365893112.34,1.34,Buy,37474.0,
32,2021-02-09,ARKK,KE HOLDINGS INC,BEKE,5789750.0,383397245.0,1.41,Buy,67158.0,
