No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2020-11-17,ARKF,ADYEN NV,ADYEN,19994.0,38907140.65,3.5000000000000004,Buy,200.0,
2,2020-11-17,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,133070.0,34172376.0,3.08,Buy,1335.0,
3,2020-11-17,ARKF,AMAZON.COM INC,AMZN,9011.0,28255432.26,2.54,Buy,90.0,
4,2020-11-17,ARKF,APPLE INC,AAPL,212726.0,25397357.14,2.29,Buy,2135.0,
5,2020-11-17,ARKF,DISCOVERY LTD,DSY,1435374.0,11989950.91,1.08,Buy,14390.0,
6,2020-11-17,ARKF,DOCUSIGN INC,DOCU,110662.0,23450384.42,2.11,Buy,6086.0,
7,2020-11-17,ARKF,FACEBOOK INC-CLASS A,FB,91770.0,25236750.0,2.27,Buy,920.0,
8,2020-11-17,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,134916.0,15358837.44,1.38,Buy,1355.0,
9,2020-11-17,ARKF,HDFC BANK LTD-ADR,HDB,172213.0,11827588.84,1.0699999999999998,Buy,1725.0,
10,2020-11-17,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,233044.0,12873350.56,1.16,Buy,2335.0,
11,2020-11-17,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,440882.0,44101426.46,3.9699999999999998,Buy,4420.0,
12,2020-11-17,ARKF,INTUIT INC,INTU,55332.0,19850355.0,1.79,Buy,555.0,
13,2020-11-17,ARKF,JAPANESE YEN,,29523354.0,283333.53,0.03,Buy,11616465.0,
14,2020-11-17,ARKF,JD.COM INC-ADR,JD,147949.0,12867124.53,1.16,Buy,1485.0,
15,2020-11-17,ARKF,LENDINGCLUB CORP,LC,1879598.0,10600932.72,0.95,Hold,0.0,0.5347593582887828
16,2020-11-17,ARKF,LENDINGTREE INC,TREE UW,134177.0,38914013.54,3.5000000000000004,Buy,1345.0,
17,2020-11-17,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,415396.0,17361300.56,1.5599999999999998,Buy,4000.0,
18,2020-11-17,ARKF,MARKETAXESS HOLDINGS INC,MKTX,10419.0,5356303.71,0.48,Buy,105.0,
19,2020-11-17,ARKF,MEITUAN-CLASS B,3690,901015.0,35213603.3,3.17,Buy,9000.0,
20,2020-11-17,ARKF,MERCADOLIBRE INC,MELI,36708.0,47750133.48,4.3,Buy,370.0,
21,2020-11-17,ARKF,MORGAN STANLEY GOVT INSTL 8035,,2619061.35,2619061.35,0.24,Buy,126435.9700000002,
22,2020-11-17,ARKF,NVIDIA CORP,NVDA,21447.0,11514679.83,1.04,Buy,215.0,
23,2020-11-17,ARKF,PAYPAL HOLDINGS INC,PYPL,198002.0,38075784.6,3.4300000000000006,Buy,1985.0,
24,2020-11-17,ARKF,PINDUODUO INC-ADR,PDD,114286.0,15128037.82,1.3599999999999999,Buy,1145.0,
25,2020-11-17,ARKF,PINTEREST INC- CLASS A,PINS,848428.0,53747913.8,4.84,Buy,8505.0,
26,2020-11-17,ARKF,SBI HOLDINGS INC,8473,447362.0,11330022.25,1.02,Sell,78312.0,
27,2020-11-17,ARKF,SCHWAB (CHARLES) CORP,SCHW,301029.0,14720318.1,1.3299999999999998,Buy,3020.0,
28,2020-11-17,ARKF,SEA LTD-ADR,SE,225770.0,38520877.4,3.47,Buy,2265.0,
29,2020-11-17,ARKF,SHOPIFY INC - CLASS A,SHOP,9046.0,8268224.92,0.74,Buy,90.0,
30,2020-11-17,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,356599.0,10665876.09,0.96,Buy,46488.0,
31,2020-11-17,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,514614.0,13760778.36,1.24,Buy,5160.0,
32,2020-11-17,ARKF,SNAP INC - A,SNAP,594968.0,23364393.36,2.1,Buy,5965.0,
33,2020-11-17,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,631331.0,11685936.81,1.05,Buy,6330.0,
34,2020-11-17,ARKF,SPLUNK INC,SPLK,106228.0,21042704.52,1.9,Buy,1065.0,
35,2020-11-17,ARKF,SQUARE INC - A,SQ,620304.0,116555121.6,10.5,Buy,6220.0,
