No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-02-11,ARKK,TESLA INC,TSLA,2955229.0,2398641170.14,8.7,Buy,829.0,
2,2021-02-11,ARKK,ROKU INC,ROKU,4034033.0,1878608827.77,6.81,Buy,1131.0,
3,2021-02-11,ARKK,TELADOC HEALTH INC,TDOC,4872935.0,1382402930.15,5.01,Buy,1366.0,
4,2021-02-11,ARKK,SQUARE INC - A,SQ,5166612.0,1373957129.16,4.98,Buy,1449.0,
5,2021-02-11,ARKK,CRISPR THERAPEUTICS AG,CRSP,6021490.0,957717984.5,3.47,Hold,0.0,-0.717852684144819
6,2021-02-11,ARKK,INVITAE CORP,NVTA,17315474.0,884647566.66,3.21,Hold,0.0,-1.6365036580669978
7,2021-02-11,ARKK,BAIDU INC - SPON ADR,BIDU,2945111.0,911776914.49,3.31,Buy,826.0,
8,2021-02-11,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,2544360.0,844473084.0,3.06,Buy,713.0,
9,2021-02-11,ARKK,ZILLOW GROUP INC - C,Z,5089653.0,987392682.0,3.58,Buy,1427.0,
10,2021-02-11,ARKK,SHOPIFY INC - CLASS A,SHOP,485803.0,710880387.93,2.58,Buy,136.0,
11,2021-02-11,ARKK,PROTO LABS INC,PRLB,3084347.0,619151816.78,2.25,Hold,0.0,-3.9061752034466224
12,2021-02-11,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,6394366.0,631059980.54,2.29,Buy,1793.0,
13,2021-02-11,ARKK,TWILIO INC - A,TWLO,1436549.0,622298661.31,2.26,Buy,403.0,
14,2021-02-11,ARKK,PAYPAL HOLDINGS INC,PYPL,2126870.0,606221756.1,2.2,Buy,596.0,
15,2021-02-11,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,1376373.0,595652943.21,2.16,Buy,386.0,
16,2021-02-11,ARKK,PURE STORAGE INC - CLASS A,PSTG,21147866.0,609270019.46,2.21,Hold,0.0,4.0072202166064965
17,2021-02-11,ARKK,EXACT SCIENCES CORP,EXAS,3653121.0,535839788.28,1.94,Buy,1024.0,
18,2021-02-11,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,10835002.0,517371345.5,1.88,Buy,3038.0,
19,2021-02-11,ARKK,TWIST BIOSCIENCE CORP,TWST,3130101.0,517734355.91,1.88,Hold,0.0,-0.8363309342941264
20,2021-02-11,ARKK,DOCUSIGN INC,DOCU,2042634.0,523465815.18,1.9,Buy,573.0,
21,2021-02-11,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,3529943.0,491226867.88,1.78,Buy,990.0,
22,2021-02-11,ARKK,UNITY SOFTWARE INC,U,3579814.0,448872877.46,1.63,Buy,1004.0,
23,2021-02-11,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6404582.0,441403791.44,1.6,Hold,0.0,-1.6692823512626618
24,2021-02-11,ARKK,MATERIALISE NV-ADR,MTLS,5787948.0,449202644.28,1.63,Sell,40000.0,
25,2021-02-11,ARKK,LENDINGTREE INC,TREE UW,1214328.0,416927375.52,1.51,Hold,0.0,-0.7085225136643685
26,2021-02-11,ARKK,PAGERDUTY INC,PD,7491490.0,420572248.6,1.53,Hold,0.0,1.445608962775569
27,2021-02-11,ARKK,KE HOLDINGS INC,BEKE,5840497.0,413507187.6,1.5,Buy,1637.0,
28,2021-02-11,ARKK,EDITAS MEDICINE INC,EDIT,6601876.0,377429250.92,1.37,Hold,0.0,-3.282016579259008
29,2021-02-11,ARKK,2U INC,TWOU,7990138.0,392875085.46,1.42,Hold,0.0,2.097176079734218
30,2021-02-11,ARKK,SEA LTD-ADR,SE,1354341.0,371942668.83,1.35,Buy,380.0,
31,2021-02-11,ARKK,VERACYTE INC,VCYT,4802280.0,359786817.6,1.3,Hold,0.0,-1.9884877027734074
