No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2020-12-21,ARKF,ADYEN NV,ADYEN,27754.0,64499975.54,3.7000000000000006,Buy,160.0,
2,2020-12-21,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,201544.0,52488103.92,3.01,Buy,17722.0,
3,2020-12-21,ARKF,AMAZON.COM INC,AMZN,13986.0,44841633.48,2.5700000000000003,Buy,2724.0,
4,2020-12-21,ARKF,APPLE INC,AAPL,295597.0,37904403.31,2.17,Buy,1708.0,
5,2020-12-21,ARKF,BASE INC,4477,189400.0,18147205.42,1.04,Buy,1200.0,
6,2020-12-21,ARKF,DISCOVERY LTD,DSY,1994032.0,20300017.03,1.16,Buy,11512.0,
7,2020-12-21,ARKF,DOCUSIGN INC,DOCU,175235.0,43458280.0,2.4899999999999998,Buy,1012.0,
8,2020-12-21,ARKF,EURO,,0.0,0.0,0.0,Sell,312075.96,
9,2020-12-21,ARKF,FACEBOOK INC-CLASS A,FB,127504.0,34781816.16,1.9900000000000002,Buy,736.0,
10,2020-12-21,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,187512.0,23519630.16,1.35,Buy,1084.0,
11,2020-12-21,ARKF,HDFC BANK LTD-ADR,HDB,239352.0,16359709.2,0.9400000000000001,Buy,1384.0,
12,2020-12-21,ARKF,HONG KONG DOLLAR,,0.0,0.0,0.0,Sell,3505480.4699999997,
13,2020-12-21,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,296633.0,17477616.36,1.0,Sell,25351.0,
14,2020-12-21,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,612484.0,68928949.36,3.95,Buy,3536.0,
15,2020-12-21,ARKF,INTUIT INC,INTU,76877.0,28900370.61,1.66,Buy,444.0,
16,2020-12-21,ARKF,JAPANESE YEN,,19301446.0,186803.25,0.01,Sell,76311787.0,
17,2020-12-21,ARKF,JD HEALTH INTERNATIONAL INC,6618,121125.0,2593582.72,0.15,Buy,600.0,
18,2020-12-21,ARKF,JD.COM INC-ADR,JD,236955.0,19108051.2,1.09,Buy,32554.0,
19,2020-12-21,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,23479.0,1361782.0,0.08,Buy,7032.0,
20,2020-12-21,ARKF,KE HOLDINGS INC,BEKE,195147.0,13039722.54,0.75,Buy,1128.0,
21,2020-12-21,ARKF,LENDINGCLUB CORP,LC,1879598.0,16277318.68,0.9299999999999999,Hold,0.0,2.0023557126030633
22,2020-12-21,ARKF,LENDINGTREE INC,TREE UW,172402.0,45208976.46,2.59,Hold,0.0,0.559880354335242
23,2020-12-21,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,570596.0,34503011.84,1.9800000000000002,Buy,3200.0,
24,2020-12-21,ARKF,MARKETAXESS HOLDINGS INC,MKTX,14493.0,8383330.92,0.48,Buy,84.0,
25,2020-12-21,ARKF,MEITUAN-CLASS B,3690,1250215.0,44896466.43,2.5700000000000003,Buy,7200.0,
26,2020-12-21,ARKF,MERCADOLIBRE INC,MELI,49825.0,84597369.25,4.8500000000000005,Buy,288.0,
27,2020-12-21,ARKF,MORGAN STANLEY GOVT INSTL 8035,,8306799.94,8306799.94,0.48,Buy,1006675.5200000005,
28,2020-12-21,ARKF,NVIDIA CORP,NVDA,34700.0,18505163.0,1.06,Buy,4965.0,
29,2020-12-21,ARKF,PAYPAL HOLDINGS INC,PYPL,275053.0,65385599.16,3.75,Buy,1588.0,
30,2020-12-21,ARKF,PINDUODUO INC-ADR,PDD,158868.0,23332943.16,1.34,Buy,916.0,
31,2020-12-21,ARKF,PINTEREST INC- CLASS A,PINS,998092.0,69716726.2,3.9900000000000007,Buy,5760.0,
32,2020-12-21,ARKF,SBI HOLDINGS INC,8473,621962.0,17847736.08,1.02,Buy,3600.0,
33,2020-12-21,ARKF,SCHWAB (CHARLES) CORP,SCHW,418255.0,21644696.25,1.24,Buy,2416.0,
34,2020-12-21,ARKF,SEA LTD-ADR,SE,313691.0,61765757.9,3.54,Buy,1812.0,
35,2020-12-21,ARKF,SHOPIFY INC - CLASS A,SHOP,16600.0,19874516.0,1.1400000000000001,Buy,96.0,
36,2020-12-21,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,541660.0,30625456.4,1.7500000000000002,Buy,3128.0,
37,2020-12-21,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,22863.0,973277.91,0.06,Buy,132.0,
38,2020-12-21,ARKF,SNAP INC - A,SNAP,826547.0,43278000.92,2.48,Buy,4772.0,
39,2020-12-21,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,0.0,0.0,0.0,Sell,872035.0,
40,2020-12-21,ARKF,SOUTH AFRICAN RAND,,1786969.97,122332.36,0.01,Hold,0.0,-0.3422902973975349
41,2020-12-21,ARKF,SPLUNK INC,SPLK,192083.0,33493512.71,1.92,Buy,1108.0,
42,2020-12-21,ARKF,SQUARE INC - A,SQ,798939.0,186552256.5,10.69,Sell,34597.0,
43,2020-12-21,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,217668.0,22818136.44,1.31,Buy,1256.0,
44,2020-12-21,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,493634.0,15277972.3,0.88,Buy,5684.0,
45,2020-12-21,ARKF,TELADOC HEALTH INC,TDOC,90847.0,18146688.25,1.04,Buy,524.0,
46,2020-12-21,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,784552.0,57970547.28,3.32,Buy,4528.0,
47,2020-12-21,ARKF,TRANSUNION,TRU,139566.0,13835177.58,0.79,Sell,24170.0,
48,2020-12-21,ARKF,TWILIO INC - A,TWLO,129207.0,47137297.74,2.7,Buy,748.0,
49,2020-12-21,ARKF,VERISK ANALYTICS INC,VRSK,66691.0,13522934.07,0.77,Buy,384.0,
50,2020-12-21,ARKF,WORKDAY INC-CLASS A,WDAY,117059.0,28365736.88,1.63,Buy,676.0,
51,2020-12-21,ARKF,YEAHKA LTD,9923,2790800.0,12977534.99,0.74,Buy,16000.0,
52,2020-12-21,ARKF,Z HOLDINGS CORP,4689,5499607.0,32494653.51,1.8599999999999999,Buy,31600.0,
53,2020-12-21,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,6778145.0,32568320.06,1.87,Buy,39200.0,
54,2020-12-21,ARKF,ZILLOW GROUP INC - C,Z,581178.0,79272679.2,4.54,Buy,3356.0,
55,2020-12-21,ARKF,ZSCALER INC,ZS,989.0,197424.18,0.01,Buy,4.0,
56,2020-12-21,ARKG,10X GENOMICS INC-CLASS A,TXG,444537.0,66640541.67,0.98,Buy,18734.0,
57,2020-12-21,ARKG,908 DEVICES INC,MASS,365428.0,18457768.28,0.27,Buy,15428.0,
58,2020-12-21,ARKG,ACCOLADE INC,ACCD,1973952.0,98105414.4,1.44,Buy,83172.0,
59,2020-12-21,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1288271.0,80323696.85,1.18,Buy,54288.0,
60,2020-12-21,ARKG,ALPHABET INC-CL A,GOOGL,66507.0,115360381.92,1.69,Buy,30466.0,
61,2020-12-21,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,7434569.0,69661911.53,1.02,Buy,313142.0,
62,2020-12-21,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,4031610.0,456136355.4,6.67,Hold,0.0,13.949038171014202
63,2020-12-21,ARKG,BEAM THERAPEUTICS INC,BEAM,826962.0,73715392.68,1.08,Buy,34858.0,
64,2020-12-21,ARKG,BERKELEY LIGHTS INC,BLI,1155526.0,119666272.56,1.7500000000000002,Buy,48762.0,
65,2020-12-21,ARKG,CAREDX INC,CDNA,3385789.0,244826402.59,3.58,Buy,125308.0,
66,2020-12-21,ARKG,CASTLE BIOSCIENCES INC,CSTL,1621740.0,116538236.4,1.71,Buy,68324.0,
67,2020-12-21,ARKG,CELLECTIS - ADR,CLLS,6051067.0,167130470.54,2.45,Hold,0.0,3.445692883895122
68,2020-12-21,ARKG,CERUS CORP,CERS,8174256.0,61306920.0,0.9000000000000001,Hold,0.0,6.837606837606842
69,2020-12-21,ARKG,CODEXIS INC,CDXS,3303353.0,66562562.95,0.97,Buy,153237.0,
70,2020-12-21,ARKG,COMPUGEN LTD,CGEN,5735230.0,77769718.8,1.1400000000000001,Hold,0.0,7.024467245461725
71,2020-12-21,ARKG,CRISPR THERAPEUTICS AG,CRSP,3010088.0,502203081.92,7.35,Sell,32800.0,
