No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-08-20,ARKK,TESLA INC,TSLA,3256252.0,2192988034.44,10.56,Hold,0.0,-2.252572606278754
2,2021-08-20,ARKK,TELADOC HEALTH INC,TDOC,8555254.0,1160092442.4,5.59,Hold,0.0,-1.9026260580192416
3,2021-08-20,ARKK,ROKU INC,ROKU,3269279.0,1122506944.65,5.4,Hold,0.0,-0.39742399628684316
4,2021-08-20,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,4135958.0,1026710213.92,4.94,Hold,0.0,1.5753508736036614
5,2021-08-20,ARKK,UNITY SOFTWARE INC,U,8267285.0,962394646.85,4.63,Hold,0.0,-1.2805291723202195
6,2021-08-20,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,2812587.0,934847667.06,4.5,Hold,0.0,-2.5078461854339626
7,2021-08-20,ARKK,SQUARE INC - A,SQ,3422772.0,880850374.2,4.24,Sell,41400.0,
8,2021-08-20,ARKK,SHOPIFY INC - CLASS A,SHOP,588569.0,862906896.59,4.15,Hold,0.0,-1.549174713600765
9,2021-08-20,ARKK,TWILIO INC - A,TWLO,2214468.0,755731494.36,3.64,Hold,0.0,0.6725862119826492
10,2021-08-20,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3381543.0,693486838.44,3.34,Hold,0.0,-0.16551455554472114
11,2021-08-20,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,25991816.0,627962274.56,3.02,Hold,0.0,-4.430379746835454
12,2021-08-20,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4240828.0,610976089.96,2.94,Buy,24047.0,
13,2021-08-20,ARKK,ZILLOW GROUP INC - C,Z,6542338.0,596006991.8,2.87,Hold,0.0,-2.263705610985957
14,2021-08-20,ARKK,EXACT SCIENCES CORP,EXAS,6521561.0,588505664.64,2.83,Hold,0.0,-2.7481409634659024
15,2021-08-20,ARKK,CRISPR THERAPEUTICS AG,CRSP,4882423.0,570218182.17,2.75,Buy,30000.0,
16,2021-08-20,ARKK,UIPATH INC - CLASS A,PATH,8423698.0,508538648.26,2.45,Hold,0.0,-0.2972749793559014
17,2021-08-20,ARKK,BEAM THERAPEUTICS INC,BEAM,4839908.0,473246204.24,2.28,Buy,44996.0,
18,2021-08-20,ARKK,DRAFTKINGS INC - CL A,DKNG,9276690.0,478120602.6,2.3,Hold,0.0,-1.074856046065254
19,2021-08-20,ARKK,TWITTER INC,TWTR,7521605.0,466715590.25,2.25,Hold,0.0,-0.11268512556343073
20,2021-08-20,ARKK,FATE THERAPEUTICS INC,FATE,4801035.0,411112627.05,1.98,Hold,0.0,-5.901098901098899
21,2021-08-20,ARKK,DOCUSIGN INC,DOCU,1338092.0,383818309.28,1.85,Sell,51743.0,
22,2021-08-20,ARKK,10X GENOMICS INC-CLASS A,TXG,2172905.0,334975034.8,1.61,Hold,0.0,-2.312907927254293
23,2021-08-20,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,8070774.0,313791693.12,1.51,Hold,0.0,-1.2446024892049754
24,2021-08-20,ARKK,SEA LTD-ADR,SE,988791.0,317520565.92,1.53,Hold,0.0,0.7877969931891737
25,2021-08-20,ARKK,INVITAE CORP,NVTA,12105933.0,294295231.23,1.42,Hold,0.0,-3.913043478260856
26,2021-08-20,ARKK,EDITAS MEDICINE INC,EDIT,4251152.0,246991931.2,1.19,Buy,33416.0,
27,2021-08-20,ARKK,ROBINHOOD MARKETS INC - A,HOOD,4768028.0,213083171.32,1.03,Hold,0.0,-10.261044176706832
28,2021-08-20,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,8367843.0,216057706.26,1.04,Hold,0.0,-3.548748599178195
29,2021-08-20,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,7280893.0,251190808.5,1.21,Buy,313462.0,
30,2021-08-20,ARKK,PAGERDUTY INC,PD,5594855.0,215625711.7,1.04,Hold,0.0,-0.6188757091284249
31,2021-08-20,ARKK,TERADYNE INC,TER,1757791.0,200757310.11,0.97,Hold,0.0,0.17542320849049223
32,2021-08-20,ARKK,2U INC,TWOU,4923492.0,173553093.0,0.84,Sell,16284.0,
33,2021-08-20,ARKK,TWIST BIOSCIENCE CORP,TWST,1758139.0,171189994.43,0.82,Sell,5820.0,
34,2021-08-20,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,7524028.0,153113969.8,0.74,Hold,0.0,-3.095238095238088
35,2021-08-20,ARKK,BERKELEY LIGHTS INC,BLI,4276542.0,148994723.28,0.72,Hold,0.0,-4.2330951072017635
36,2021-08-20,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,2497571.0,147481567.55,0.71,Hold,0.0,0.031847562098561266
37,2021-08-20,ARKK,TRIMBLE INC,TRMB,1633561.0,145272579.73,0.7,Hold,0.0,0.15767541389795572
38,2021-08-20,ARKK,SKILLZ INC,SKLZ,13337628.0,134576666.52,0.65,Hold,0.0,-4.631379962192815
39,2021-08-20,ARKK,PROTO LABS INC,PRLB,1819949.0,126395458.05,0.61,Sell,6024.0,
40,2021-08-20,ARKK,VERACYTE INC,VCYT,3390837.0,125698327.59,0.61,Buy,1179.0,
41,2021-08-20,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1655304.0,84917095.2,0.41,Sell,47361.0,
42,2021-08-20,ARKK,STRATASYS LTD,SSYS,3957374.0,77683251.62,0.37,Sell,13092.0,
43,2021-08-20,ARKK,SOARING EAGLE ACQU - CL A,SRNG,7822790.0,77993216.3,0.38,Hold,0.0,0.0
44,2021-08-20,ARKK,MATERIALISE NV-ADR,MTLS,3525089.0,69691009.53,0.34,Sell,11664.0,
45,2021-08-20,ARKK,CERUS CORP,CERS,11650995.0,66294161.55,0.32,Sell,38544.0,
46,2021-08-20,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,2670162.0,66460332.18,0.32,Buy,149483.0,
47,2021-08-20,ARKK,COMPUGEN LTD,CGEN,6129687.0,35552184.6,0.17,Sell,20280.0,
48,2021-08-20,ARKK,SERES THERAPEUTICS INC,MCRB,2385744.0,14386036.32,0.07,Sell,18906.0,
49,2021-08-20,ARKQ,TESLA INC,TSLA,458874.0,309037872.78,11.93,Sell,2756.0,
50,2021-08-20,ARKQ,TRIMBLE INC,TRMB,2194409.0,195148792.37,7.53,Sell,13180.0,
51,2021-08-20,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,7105062.0,151977276.18,5.87,Sell,42676.0,
52,2021-08-20,ARKQ,UNITY SOFTWARE INC,U,1268624.0,147680519.84,5.7,Sell,7620.0,
53,2021-08-20,ARKQ,UIPATH INC - CLASS A,PATH,2337094.0,141090364.78,5.45,Sell,14040.0,
54,2021-08-20,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,3506286.0,136324399.68,5.26,Sell,21060.0,
55,2021-08-20,ARKQ,ALPHABET INC-CL C,GOOG,48366.0,132439166.82,5.11,Sell,288.0,
56,2021-08-20,ARKQ,LOCKHEED MARTIN CORP,LMT,259902.0,92013105.06,3.55,Sell,1564.0,
57,2021-08-20,ARKQ,DEERE & CO,DE,204303.0,73340690.94,2.83,Sell,1228.0,
58,2021-08-20,ARKQ,JD.COM INC-ADR,JD,1149575.0,71492069.25,2.76,Sell,6908.0,
59,2021-08-20,ARKQ,3D SYSTEMS CORP,DDD,2476795.0,67443127.85,2.6,Sell,14876.0,
60,2021-08-20,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,2751245.0,67020328.2,2.59,Buy,5030.0,
61,2021-08-20,ARKQ,TERADYNE INC,TER,559015.0,63845103.15,2.46,Sell,3360.0,
62,2021-08-20,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,1915860.0,66097170.0,2.55,Sell,11508.0,
63,2021-08-20,ARKQ,MAGNA INTERNATIONAL INC,MGA,735834.0,57041851.68,2.2,Sell,4420.0,
64,2021-08-20,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,2126843.0,53319954.01,2.06,Sell,12776.0,
65,2021-08-20,ARKQ,NXP SEMICONDUCTORS NV,NXPI,258565.0,52493866.3,2.03,Sell,1556.0,
66,2021-08-20,ARKQ,AEROVIRONMENT INC,AVAV,546352.0,52941508.8,2.04,Buy,7202.0,
67,2021-08-20,ARKQ,CATERPILLAR INC,CAT,227074.0,46425279.3,1.79,Sell,1364.0,
68,2021-08-20,ARKQ,BAIDU INC - SPON ADR,BIDU,329943.0,45311072.19,1.75,Sell,1984.0,
69,2021-08-20,ARKQ,MARKFORGED HOLDING CORP,MKFG,5096678.0,43270796.22,1.67,Buy,47261.0,
70,2021-08-20,ARKQ,NANO DIMENSION LTD - ADR,NNDM,7139284.0,38909097.8,1.5,Sell,42880.0,
71,2021-08-20,ARKQ,INTUITIVE SURGICAL INC,ISRG,38132.0,40253664.48,1.55,Sell,228.0,
72,2021-08-20,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,84431.0,37658758.93,1.45,Sell,508.0,
73,2021-08-20,ARKQ,SYNOPSYS INC,SNPS,122885.0,38830431.15,1.5,Sell,740.0,
74,2021-08-20,ARKQ,ELBIT SYSTEMS LTD,ESLT,245420.0,35212861.6,1.36,Sell,1476.0,
75,2021-08-20,ARKQ,2U INC,TWOU,858056.0,30246474.0,1.17,Sell,5156.0,
76,2021-08-20,ARKQ,MATERIALISE NV-ADR,MTLS,1460944.0,28882862.88,1.11,Sell,8776.0,
77,2021-08-20,ARKQ,BLADE AIR MOBILITY INC,BLDE,3882954.0,30015234.42,1.16,Sell,23324.0,
78,2021-08-20,ARKQ,VUZIX CORP,VUZI,2407842.0,27497555.64,1.06,Sell,14464.0,
79,2021-08-20,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,2768133.0,27515242.02,1.06,Sell,16628.0,
80,2021-08-20,ARKQ,ANSYS INC,ANSS,76521.0,27373092.12,1.06,Sell,460.0,
81,2021-08-20,ARKQ,JAWS SPITFIRE ACQUISITION-A,SPFR,2710577.0,26916029.61,1.04,Sell,5782.0,
82,2021-08-20,ARKQ,NVIDIA CORP,NVDA,138711.0,27462003.78,1.06,Sell,836.0,
83,2021-08-20,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,145830.0,23413006.5,0.9,Sell,880.0,
84,2021-08-20,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,361257.0,23929663.68,0.92,Sell,2172.0,
85,2021-08-20,ARKQ,STRATASYS LTD,SSYS,1054412.0,20698107.56,0.8,Sell,6336.0,
86,2021-08-20,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,550780.0,13306844.8,0.51,Sell,3308.0,
87,2021-08-20,ARKQ,PROTO LABS INC,PRLB,184800.0,12834360.0,0.5,Sell,1112.0,
88,2021-08-20,ARKQ,EXONE CO/THE,XONE,323904.0,7420640.64,0.29,Sell,62105.0,
89,2021-08-20,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,140734.0,855662.72,0.03,Sell,848.0,
90,2021-08-20,ARKW,TESLA INC,TSLA,843781.0,568261190.07,10.38,Sell,5510.0,
91,2021-08-20,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,8614253.0,322948344.97,5.9,Sell,56230.0,
92,2021-08-20,ARKW,TWITTER INC,TWTR,4599891.0,285423236.55,5.21,Sell,30025.0,
93,2021-08-20,ARKW,TELADOC HEALTH INC,TDOC,1951575.0,264633570.0,4.84,Sell,12740.0,
94,2021-08-20,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,1065001.0,264375848.24,4.83,Sell,6950.0,
95,2021-08-20,ARKW,SHOPIFY INC - CLASS A,SHOP,170715.0,250286968.65,4.57,Sell,1115.0,
96,2021-08-20,ARKW,UNITY SOFTWARE INC,U,2127492.0,247661343.72,4.52,Sell,13890.0,
97,2021-08-20,ARKW,SQUARE INC - A,SQ,937825.0,241349263.75,4.41,Sell,6120.0,
98,2021-08-20,ARKW,TWILIO INC - A,TWLO,619993.0,211585011.11,3.87,Sell,4045.0,
99,2021-08-20,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,551622.0,183348120.36,3.35,Sell,3600.0,
100,2021-08-20,ARKW,ROKU INC,ROKU,536498.0,184206588.3,3.37,Sell,3505.0,
101,2021-08-20,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,887893.0,182089096.44,3.33,Sell,5795.0,
102,2021-08-20,ARKW,DRAFTKINGS INC - CL A,DKNG,3349849.0,172651217.46,3.15,Sell,21865.0,
103,2021-08-20,ARKW,PELOTON INTERACTIVE INC-A,PTON,1569769.0,169221098.2,3.09,Sell,10245.0,
104,2021-08-20,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,6061672.0,146449995.52,2.68,Sell,39570.0,
105,2021-08-20,ARKW,ZILLOW GROUP INC - C,Z,1337820.0,121875402.0,2.23,Sell,8735.0,
106,2021-08-20,ARKW,UIPATH INC - CLASS A,PATH,2032204.0,122684155.48,2.24,Sell,13265.0,
107,2021-08-20,ARKW,ROBLOX CORP -CLASS A,RBLX,1382877.0,112497043.95,2.06,Sell,9025.0,
108,2021-08-20,ARKW,SEA LTD-ADR,SE,310264.0,99631975.68,1.82,Sell,2025.0,
109,2021-08-20,ARKW,MERCADOLIBRE INC,MELI,52437.0,92287022.52,1.69,Sell,340.0,
110,2021-08-20,ARKW,ETSY INC,ETSY,445487.0,85658240.36,1.57,Sell,2910.0,
111,2021-08-20,ARKW,LENDINGCLUB CORP,LC,3009780.0,79819365.6,1.46,Sell,19645.0,
112,2021-08-20,ARKW,OKTA INC,OKTA,340147.0,78543343.77,1.44,Sell,2220.0,
113,2021-08-20,ARKW,SKILLZ INC,SKLZ,6452431.0,65105028.79,1.19,Sell,42120.0,
114,2021-08-20,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1119920.0,66131276.0,1.21,Sell,7310.0,
115,2021-08-20,ARKW,WALT DISNEY CO/THE,DIS,342080.0,59265360.0,1.08,Sell,2235.0,
116,2021-08-20,ARKW,VUZIX CORP,VUZI,4965143.0,56701933.06,1.04,Sell,32410.0,
117,2021-08-20,ARKW,SNAP INC - A,SNAP,811608.0,57510542.88,1.05,Sell,5300.0,
118,2021-08-20,ARKW,CLOUDFLARE INC - CLASS A,NET,497836.0,58819323.4,1.07,Sell,3250.0,
119,2021-08-20,ARKW,SPLUNK INC,SPLK,399139.0,56386366.53,1.03,Sell,2605.0,
120,2021-08-20,ARKW,DOCUSIGN INC,DOCU,191810.0,55018780.4,1.01,Sell,1255.0,
121,2021-08-20,ARKW,PAYPAL HOLDINGS INC,PYPL,202133.0,54693147.14,1.0,Sell,1320.0,
122,2021-08-20,ARKW,TRADE DESK INC/THE -CLASS A,TTD,700435.0,53085968.65,0.97,Sell,4575.0,
123,2021-08-20,ARKW,PAGERDUTY INC,PD,1362022.0,52492327.88,0.96,Sell,8890.0,
124,2021-08-20,ARKW,FARFETCH LTD-CLASS A,FTCH,1144575.0,43757102.25,0.8,Sell,7475.0,
125,2021-08-20,ARKW,ROBINHOOD MARKETS INC - A,HOOD,925922.0,41379454.18,0.76,Sell,6045.0,
126,2021-08-20,ARKW,VERACYTE INC,VCYT,1144685.0,42433472.95,0.78,Sell,7475.0,
127,2021-08-20,ARKW,KHOSLA VENTURES ACQUISITIO-A,KVSB,4227137.0,42398184.11,0.77,Sell,17148.0,
128,2021-08-20,ARKW,2U INC,TWOU,1193595.0,42074223.75,0.77,Sell,7790.0,
129,2021-08-20,ARKW,LIVEPERSON INC,LPSN,701125.0,42200713.75,0.77,Sell,4275.0,
130,2021-08-20,ARKW,NANO DIMENSION LTD - ADR,NNDM,7198262.0,39230527.9,0.72,Sell,46990.0,
131,2021-08-20,ARKW,CONCORD ACQUISITION CORP -A,CND,2812887.0,29197767.06,0.53,Sell,18360.0,
132,2021-08-20,ARKW,GENIUS SPORTS LTD,GENI,922355.0,15698482.1,0.29,Buy,340016.0,
133,2021-08-20,ARKW,NETFLIX INC,NFLX,192.0,104392.32,0.0,Hold,0.0,4.184950274972708
134,2021-08-20,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,1231.0,72690.55,0.0,Sell,10.0,
135,2021-08-20,ARKW,SNOWFLAKE INC-CLASS A,SNOW,98.0,27386.1,0.0,Hold,0.0,-0.19642857142857673
136,2021-08-20,ARKG,TELADOC HEALTH INC,TDOC,3897529.0,528504932.4,6.78,Sell,23580.0,
137,2021-08-20,ARKG,FATE THERAPEUTICS INC,FATE,4366772.0,373926686.36,4.79,Sell,26424.0,
138,2021-08-20,ARKG,EXACT SCIENCES CORP,EXAS,4073713.0,367611861.12,4.71,Sell,24648.0,
139,2021-08-20,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,14050447.0,362782541.54,4.65,Sell,85020.0,
140,2021-08-20,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,1766831.0,344602718.24,4.42,Sell,10692.0,
141,2021-08-20,ARKG,IONIS PHARMACEUTICALS INC,IONS,8794715.0,332792015.6,4.27,Sell,53220.0,
142,2021-08-20,ARKG,REGENERON PHARMACEUTICALS,REGN,466222.0,305669129.86,3.92,Sell,2820.0,
143,2021-08-20,ARKG,CAREDX INC,CDNA,3596452.0,255455985.56,3.28,Sell,21768.0,
144,2021-08-20,ARKG,INTELLIA THERAPEUTICS INC,NTLA,1547421.0,222936943.47,2.86,Sell,9360.0,
145,2021-08-20,ARKG,ACCOLADE INC,ACCD,5404541.0,223207543.3,2.86,Sell,32700.0,
146,2021-08-20,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,13943683.0,231325700.97,2.97,Sell,84372.0,
147,2021-08-20,ARKG,TWIST BIOSCIENCE CORP,TWST,2328084.0,226685539.08,2.91,Sell,14088.0,
148,2021-08-20,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,702842.0,223426443.38,2.86,Sell,4248.0,
149,2021-08-20,ARKG,INCYTE CORP,INCY,2968235.0,221163189.85,2.84,Sell,17964.0,
150,2021-08-20,ARKG,CRISPR THERAPEUTICS AG,CRSP,1811029.0,211510076.91,2.71,Sell,10956.0,
151,2021-08-20,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,7136468.0,177626688.52,2.28,Sell,43188.0,
152,2021-08-20,ARKG,BEAM THERAPEUTICS INC,BEAM,1744586.0,170585619.08,2.19,Sell,10560.0,
153,2021-08-20,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,1712938.0,159645821.6,2.05,Sell,10368.0,
154,2021-08-20,ARKG,UIPATH INC - CLASS A,PATH,2508160.0,151417619.2,1.94,Sell,15180.0,
155,2021-08-20,ARKG,CODEXIS INC,CDXS,6253365.0,137949231.9,1.77,Sell,37836.0,
156,2021-08-20,ARKG,SCHRODINGER INC,SDGR,2606790.0,140114962.5,1.8,Sell,15780.0,
157,2021-08-20,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,4577708.0,137422794.16,1.76,Sell,27696.0,
