No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-09-02,ARKK,TESLA INC,TSLA,3274104.0,2403487005.36,10.61,Hold,0.0,-0.22155167726852526
2,2021-09-02,ARKK,TELADOC HEALTH INC,TDOC,8602278.0,1253179859.04,5.53,Hold,0.0,0.8724553385957601
3,2021-09-02,ARKK,ROKU INC,ROKU,3287239.0,1210032675.9,5.34,Hold,0.0,4.455164585698087
4,2021-09-02,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,4158678.0,1105792480.2,4.88,Hold,0.0,2.6640926640926685
5,2021-09-02,ARKK,UNITY SOFTWARE INC,U,8312705.0,1051557182.5,4.64,Hold,0.0,-0.19723865877712032
6,2021-09-02,ARKK,SQUARE INC - A,SQ,3275351.0,878612905.75,3.88,Hold,0.0,0.06714664080276941
7,2021-09-02,ARKK,SHOPIFY INC - CLASS A,SHOP,570815.0,878501409.45,3.88,Hold,0.0,0.9345610514303703
8,2021-09-02,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,2985280.0,868298540.8,3.83,Hold,0.0,0.4697754749568166
9,2021-09-02,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3400123.0,810521320.74,3.58,Hold,0.0,1.723990782623533
10,2021-09-02,ARKK,TWILIO INC - A,TWLO,2226628.0,800049706.68,3.53,Hold,0.0,0.6583370685791065
11,2021-09-02,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,26134636.0,684727463.2,3.02,Hold,0.0,-0.5315110098709132
12,2021-09-02,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4264128.0,699487557.12,3.09,Hold,0.0,2.1865071949168335
13,2021-09-02,ARKK,EXACT SCIENCES CORP,EXAS,6557401.0,693641877.78,3.06,Hold,0.0,1.341253113623296
14,2021-09-02,ARKK,ZILLOW GROUP INC - C,Z,6578313.0,648950577.45,2.86,Hold,0.0,3.007204761407548
15,2021-09-02,ARKK,CRISPR THERAPEUTICS AG,CRSP,4909271.0,620335483.56,2.74,Hold,0.0,1.1284513805522036
16,2021-09-02,ARKK,DRAFTKINGS INC - CL A,DKNG,10069298.0,606272432.58,2.68,Hold,0.0,1.5516950581885791
17,2021-09-02,ARKK,BEAM THERAPEUTICS INC,BEAM,4871737.0,546608891.4,2.41,Hold,0.0,1.1539848539487947
18,2021-09-02,ARKK,UIPATH INC - CLASS A,PATH,8469978.0,525477435.12,2.32,Hold,0.0,-1.835443037974687
19,2021-09-02,ARKK,TWITTER INC,TWTR,7562954.0,495751634.7,2.19,Hold,0.0,1.6279069767441836
20,2021-09-02,ARKK,FATE THERAPEUTICS INC,FATE,5898324.0,444143797.2,1.96,Buy,1075.0,
21,2021-09-02,ARKK,DOCUSIGN INC,DOCU,1345471.0,399900890.62,1.76,Hold,0.0,0.3308128544423398
