No.,date,fund,company,ticker,holding,market value($),weight(%),action,shares,% change
1,2021-01-20,ARKK,TESLA INC,TSLA,2559358.0,2176606011.1,9.14,Buy,47220.0,
2,2021-01-20,ARKK,ROKU INC,ROKU,4223654.0,1809835739.0,7.6,Buy,77880.0,
3,2021-01-20,ARKK,CRISPR THERAPEUTICS AG,CRSP,6070635.0,1152024403.95,4.84,Hold,0.0,-4.296737102224019
4,2021-01-20,ARKK,SQUARE INC - A,SQ,4907452.0,1112273995.8,4.67,Buy,90540.0,
5,2021-01-20,ARKK,TELADOC HEALTH INC,TDOC,4444011.0,1096515274.14,4.61,Buy,81960.0,
6,2021-01-20,ARKK,INVITAE CORP,NVTA,17456809.0,993816136.37,4.18,Hold,0.0,1.9155030433225917
7,2021-01-20,ARKK,ZILLOW GROUP INC - C,Z,4818470.0,715735533.8,3.01,Buy,88920.0,
8,2021-01-20,ARKK,BAIDU INC - SPON ADR,BIDU,2685795.0,700723915.5,2.94,Buy,49560.0,
9,2021-01-20,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,1951500.0,646746615.0,2.72,Buy,36000.0,
10,2021-01-20,ARKK,TWIST BIOSCIENCE CORP,TWST,2855287.0,593814037.39,2.49,Buy,52680.0,
11,2021-01-20,ARKK,PROTO LABS INC,PRLB,3157475.0,604530163.5,2.54,Hold,0.0,6.5560997328584145
12,2021-01-20,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6456860.0,520164641.6,2.19,Hold,0.0,-3.7284894837475973
13,2021-01-20,ARKK,PURE STORAGE INC - CLASS A,PSTG,22255488.0,508983010.56,2.14,Hold,0.0,1.0159010600706733
14,2021-01-20,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,9881055.0,483282400.05,2.03,Buy,182280.0,
15,2021-01-20,ARKK,TWILIO INC - A,TWLO,1310007.0,514793450.79,2.16,Buy,24180.0,
16,2021-01-20,ARKK,EXACT SCIENCES CORP,EXAS,3331538.0,500963369.06,2.1,Buy,61440.0,
17,2021-01-20,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,1255169.0,480478693.2,2.02,Buy,23160.0,
18,2021-01-20,ARKK,EDITAS MEDICINE INC,EDIT,6655763.0,477617552.88,2.01,Hold,0.0,-0.48536957426154737
19,2021-01-20,ARKK,PAYPAL HOLDINGS INC,PYPL,1935523.0,472770847.98,1.99,Buy,35700.0,
20,2021-01-20,ARKK,DOCUSIGN INC,DOCU,1862698.0,475565426.38,2.0,Buy,34380.0,
21,2021-01-20,ARKK,SHOPIFY INC - CLASS A,SHOP,403751.0,484896875.98,2.04,Buy,7440.0,
22,2021-01-20,ARKK,MATERIALISE NV-ADR,MTLS,6006937.0,421146353.07,1.77,Hold,0.0,-5.524861878453037
23,2021-01-20,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,3124405.0,408172269.2,1.71,Buy,57660.0,
24,2021-01-20,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,5247293.0,462129094.51,1.94,Buy,652011.0,
25,2021-01-20,ARKK,LENDINGTREE INC,TREE UW,1224240.0,390569287.2,1.64,Hold,0.0,0.8886218455505599
26,2021-01-20,ARKK,PAGERDUTY INC,PD,7552637.0,373326846.91,1.57,Hold,0.0,2.5518672199170265
27,2021-01-20,ARKK,2U INC,TWOU,8055366.0,358624894.32,1.51,Hold,0.0,1.48165033052199
28,2021-01-20,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2971896.0,340846752.24,1.43,Buy,54840.0,
29,2021-01-20,ARKK,KE HOLDINGS INC,BEKE,4969363.0,361819320.03,1.52,Buy,91680.0,
30,2021-01-20,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7257224.0,280019988.04,1.18,Hold,0.0,-4.01741293532338
